"cod_mun","nome_mun","pib"
"1100015","Alta Floresta D'Oeste (RO)","498864"
"1100023","Ariquemes (RO)","2296074"
"1100031","Cabixi (RO)","138894"
"1100049","Cacoal (RO)","2127523"
"1100056","Cerejeiras (RO)","448524"
"1100064","Colorado do Oeste (RO)","340047"
"1100072","Corumbiara (RO)","330393"
"1100080","Costa Marques (RO)","215992"
"1100098","Espigão D'Oeste (RO)","577982"
"1100106","Guajará-Mirim (RO)","804570"
"1100114","Jaru (RO)","1413628"
"1100122","Ji-Paraná (RO)","3026759"
"1100130","Machadinho D'Oeste (RO)","607111"
"1100148","Nova Brasilândia D'Oeste (RO)","360966"
"1100155","Ouro Preto do Oeste (RO)","777713"
"1100189","Pimenta Bueno (RO)","1076411"
"1100205","Porto Velho (RO)","16514535"
"1100254","Presidente Médici (RO)","415050"
"1100262","Rio Crespo (RO)","106320"
"1100288","Rolim de Moura (RO)","1297525"
"1100296","Santa Luzia D'Oeste (RO)","158612"
"1100304","Vilhena (RO)","2555582"
"1100320","São Miguel do Guaporé (RO)","649904"
"1100338","Nova Mamoré (RO)","473026"
"1100346","Alvorada D'Oeste (RO)","262692"
"1100379","Alto Alegre dos Parecis (RO)","335440"
"1100403","Alto Paraíso (RO)","319784"
"1100452","Buritis (RO)","666233"
"1100502","Novo Horizonte do Oeste (RO)","168303"
"1100601","Cacaulândia (RO)","140788"
"1100700","Campo Novo de Rondônia (RO)","276532"
"1100809","Candeias do Jamari (RO)","538155"
"1100908","Castanheiras (RO)","111483"
"1100924","Chupinguaia (RO)","280763"
"1100940","Cujubim (RO)","324023"
"1101005","Governador Jorge Teixeira (RO)","182629"
"1101104","Itapuã do Oeste (RO)","160828"
"1101203","Ministro Andreazza (RO)","218099"
"1101302","Mirante da Serra (RO)","212397"
"1101401","Monte Negro (RO)","268258"
"1101435","Nova União (RO)","121495"
"1101450","Parecis (RO)","102393"
"1101468","Pimenteiras do Oeste (RO)","99026"
"1101476","Primavera de Rondônia (RO)","63356"
"1101484","São Felipe D'Oeste (RO)","91138"
"1101492","São Francisco do Guaporé (RO)","341413"
"1101500","Seringueiras (RO)","240537"
"1101559","Teixeirópolis (RO)","83415"
"1101609","Theobroma (RO)","184817"
"1101708","Urupá (RO)","208989"
"1101757","Vale do Anari (RO)","150777"
"1101807","Vale do Paraíso (RO)","140728"
"1200013","Acrelândia (AC)","229627"
"1200054","Assis Brasil (AC)","91741"
"1200104","Brasiléia (AC)","387911"
"1200138","Bujari (AC)","158298"
"1200179","Capixaba (AC)","170986"
"1200203","Cruzeiro do Sul (AC)","1287722"
"1200252","Epitaciolândia (AC)","435911"
"1200302","Feijó (AC)","350870"
"1200328","Jordão (AC)","78628"
"1200336","Mâncio Lima (AC)","194418"
"1200344","Manoel Urbano (AC)","135599"
"1200351","Marechal Thaumaturgo (AC)","195343"
"1200385","Plácido de Castro (AC)","241198"
"1200393","Porto Walter (AC)","112709"
"1200401","Rio Branco (AC)","8151494"
"1200427","Rodrigues Alves (AC)","185007"
"1200435","Santa Rosa do Purus (AC)","71271"
"1200450","Senador Guiomard (AC)","359758"
"1200500","Sena Madureira (AC)","500512"
"1200609","Tarauacá (AC)","470838"
"1200708","Xapuri (AC)","231297"
"1200807","Porto Acre (AC)","229923"
"1300029","Alvarães (AM)","159093"
"1300060","Amaturá (AM)","80789"
"1300086","Anamã (AM)","108109"
"1300102","Anori (AM)","192852"
"1300144","Apuí (AM)","193460"
"1300201","Atalaia do Norte (AM)","141142"
"1300300","Autazes (AM)","327908"
"1300409","Barcelos (AM)","160472"
"1300508","Barreirinha (AM)","239532"
"1300607","Benjamin Constant (AM)","279664"
"1300631","Beruri (AM)","141404"
"1300680","Boa Vista do Ramos (AM)","125587"
"1300706","Boca do Acre (AM)","364600"
"1300805","Borba (AM)","295945"
"1300839","Caapiranga (AM)","142324"
"1300904","Canutama (AM)","102951"
"1301001","Carauari (AM)","285495"
"1301100","Careiro (AM)","272381"
"1301159","Careiro da Várzea (AM)","313218"
"1301209","Coari (AM)","1320621"
"1301308","Codajás (AM)","464071"
"1301407","Eirunepé (AM)","433725"
"1301506","Envira (AM)","148680"
"1301605","Fonte Boa (AM)","167327"
"1301654","Guajará (AM)","115818"
"1301704","Humaitá (AM)","555210"
"1301803","Ipixuna (AM)","139858"
"1301852","Iranduba (AM)","704369"
"1301902","Itacoatiara (AM)","1978815"
"1301951","Itamarati (AM)","93772"
"1302009","Itapiranga (AM)","107576"
"1302108","Japurá (AM)","61964"
"1302207","Juruá (AM)","99727"
"1302306","Jutaí (AM)","218279"
"1302405","Lábrea (AM)","494952"
"1302504","Manacapuru (AM)","1525165"
"1302553","Manaquiri (AM)","235922"
"1302603","Manaus (AM)","73201651"
"1302702","Manicoré (AM)","495942"
"1302801","Maraã (AM)","154283"
"1302900","Maués (AM)","458903"
"1303007","Nhamundá (AM)","142087"
"1303106","Nova Olinda do Norte (AM)","234152"
"1303205","Novo Airão (AM)","131530"
"1303304","Novo Aripuanã (AM)","183026"
"1303403","Parintins (AM)","1092092"
"1303502","Pauini (AM)","150716"
"1303536","Presidente Figueiredo (AM)","444819"
"1303569","Rio Preto da Eva (AM)","383824"
"1303601","Santa Isabel do Rio Negro (AM)","122622"
"1303700","Santo Antônio do Içá (AM)","172544"
"1303809","São Gabriel da Cachoeira (AM)","313522"
"1303908","São Paulo de Olivença (AM)","235365"
"1303957","São Sebastião do Uatumã (AM)","101554"
"1304005","Silves (AM)","96289"
"1304062","Tabatinga (AM)","461733"
"1304104","Tapauá (AM)","338818"
"1304203","Tefé (AM)","744800"
"1304237","Tonantins (AM)","123792"
"1304260","Uarini (AM)","186400"
"1304302","Urucará (AM)","298060"
"1304401","Urucurituba (AM)","142872"
"1400027","Amajari (RR)","163220"
"1400050","Alto Alegre (RR)","278084"
"1400100","Boa Vista (RR)","8939317"
"1400159","Bonfim (RR)","267087"
"1400175","Cantá (RR)","247837"
"1400209","Caracaraí (RR)","350653"
"1400233","Caroebe (RR)","163048"
"1400282","Iracema (RR)","151293"
"1400308","Mucajaí (RR)","300036"
"1400407","Normandia (RR)","148517"
"1400456","Pacaraima (RR)","171774"
"1400472","Rorainópolis (RR)","531363"
"1400506","São João da Baliza (RR)","155122"
"1400605","São Luiz (RR)","119354"
"1400704","Uiramutã (RR)","116530"
"1500107","Abaetetuba (PA)","1337194"
"1500131","Abel Figueiredo (PA)","80635"
"1500206","Acará (PA)","932152"
"1500305","Afuá (PA)","358261"
"1500347","Água Azul do Norte (PA)","442902"
"1500404","Alenquer (PA)","609244"
"1500503","Almeirim (PA)","666049"
"1500602","Altamira (PA)","2500591"
"1500701","Anajás (PA)","204720"
"1500800","Ananindeua (PA)","6979135"
"1500859","Anapu (PA)","351203"
"1500909","Augusto Corrêa (PA)","332775"
"1500958","Aurora do Pará (PA)","277393"
"1501006","Aveiro (PA)","144717"
"1501105","Bagre (PA)","176241"
"1501204","Baião (PA)","356591"
"1501253","Bannach (PA)","76463"
"1501303","Barcarena (PA)","4815194"
"1501402","Belém (PA)","30238484"
"1501451","Belterra (PA)","158064"
"1501501","Benevides (PA)","1393885"
"1501576","Bom Jesus do Tocantins (PA)","164626"
"1501600","Bonito (PA)","136234"
"1501709","Bragança (PA)","1115895"
"1501725","Brasil Novo (PA)","240049"
"1501758","Brejo Grande do Araguaia (PA)","80570"
"1501782","Breu Branco (PA)","580334"
"1501808","Breves (PA)","743286"
"1501907","Bujaru (PA)","498805"
"1501956","Cachoeira do Piriá (PA)","188108"
"1502004","Cachoeira do Arari (PA)","172478"
"1502103","Cametá (PA)","1183525"
"1502152","Canaã dos Carajás (PA)","4087532"
"1502202","Capanema (PA)","967351"
"1502301","Capitão Poço (PA)","453986"
"1502400","Castanhal (PA)","3757159"
"1502509","Chaves (PA)","181401"
"1502608","Colares (PA)","79043"
"1502707","Conceição do Araguaia (PA)","559361"
"1502756","Concórdia do Pará (PA)","292354"
"1502764","Cumaru do Norte (PA)","275435"
"1502772","Curionópolis (PA)","859809"
"1502806","Curralinho (PA)","630977"
"1502855","Curuá (PA)","120940"
"1502905","Curuçá (PA)","276234"
"1502939","Dom Eliseu (PA)","679818"
"1502954","Eldorado do Carajás (PA)","359313"
"1503002","Faro (PA)","56499"
"1503044","Floresta do Araguaia (PA)","249633"
"1503077","Garrafão do Norte (PA)","242303"
"1503093","Goianésia do Pará (PA)","373567"
"1503101","Gurupá (PA)","230594"
"1503200","Igarapé-Açu (PA)","304459"
"1503309","Igarapé-Miri (PA)","376722"
"1503408","Inhangapi (PA)","114665"
"1503457","Ipixuna do Pará (PA)","540966"
"1503507","Irituia (PA)","217116"
"1503606","Itaituba (PA)","1770652"
"1503705","Itupiranga (PA)","560412"
"1503754","Jacareacanga (PA)","327630"
"1503804","Jacundá (PA)","489192"
"1503903","Juruti (PA)","1045817"
"1504000","Limoeiro do Ajuru (PA)","453590"
"1504059","Mãe do Rio (PA)","292956"
"1504109","Magalhães Barata (PA)","75314"
"1504208","Marabá (PA)","8596000"
"1504307","Maracanã (PA)","219104"
"1504406","Marapanim (PA)","221398"
"1504422","Marituba (PA)","1787967"
"1504455","Medicilândia (PA)","580775"
"1504505","Melgaço (PA)","169796"
"1504604","Mocajuba (PA)","306527"
"1504703","Moju (PA)","892439"
"1504752","Mojuí dos Campos (PA)","155208"
"1504802","Monte Alegre (PA)","690194"
"1504901","Muaná (PA)","261178"
"1504950","Nova Esperança do Piriá (PA)","215606"
"1504976","Nova Ipixuna (PA)","136989"
"1505007","Nova Timboteua (PA)","122886"
"1505031","Novo Progresso (PA)","608443"
"1505064","Novo Repartimento (PA)","839896"
"1505106","Óbidos (PA)","624485"
"1505205","Oeiras do Pará (PA)","431763"
"1505304","Oriximiná (PA)","1700273"
"1505403","Ourém (PA)","187875"
"1505437","Ourilândia do Norte (PA)","540247"
"1505486","Pacajá (PA)","580557"
"1505494","Palestina do Pará (PA)","66030"
"1505502","Paragominas (PA)","2949844"
"1505536","Parauapebas (PA)","18431904"
"1505551","Pau D'Arco (PA)","74386"
"1505601","Peixe-Boi (PA)","52914"
"1505635","Piçarra (PA)","200749"
"1505650","Placas (PA)","255858"
"1505700","Ponta de Pedras (PA)","212566"
"1505809","Portel (PA)","648024"
"1505908","Porto de Moz (PA)","295942"
"1506005","Prainha (PA)","302523"
"1506104","Primavera (PA)","149255"
"1506112","Quatipuru (PA)","90639"
"1506138","Redenção (PA)","1699978"
"1506161","Rio Maria (PA)","476420"
"1506187","Rondon do Pará (PA)","520490"
"1506195","Rurópolis (PA)","359148"
"1506203","Salinópolis (PA)","424970"
"1506302","Salvaterra (PA)","165754"
"1506351","Santa Bárbara do Pará (PA)","165802"
"1506401","Santa Cruz do Arari (PA)","68177"
"1506500","Santa Izabel do Pará (PA)","718727"
"1506559","Santa Luzia do Pará (PA)","164117"
"1506583","Santa Maria das Barreiras (PA)","375718"
