"cod_mun","nome_mun","pct_meso"
"1100015","Alta Floresta D'Oeste (RO)","2.15"
"1100023","Ariquemes (RO)","9.90"
"1100031","Cabixi (RO)","0.60"
"1100049","Cacoal (RO)","9.17"
"1100056","Cerejeiras (RO)","1.93"
"1100064","Colorado do Oeste (RO)","1.47"
"1100072","Corumbiara (RO)","1.42"
"1100080","Costa Marques (RO)","1.06"
"1100098","Espigão D'Oeste (RO)","2.49"
"1100106","Guajará-Mirim (RO)","3.96"
"1100114","Jaru (RO)","6.10"
"1100122","Ji-Paraná (RO)","13.05"
"1100130","Machadinho D'Oeste (RO)","2.62"
"1100148","Nova Brasilândia D'Oeste (RO)","1.56"
"1100155","Ouro Preto do Oeste (RO)","3.35"
"1100189","Pimenta Bueno (RO)","4.64"
"1100205","Porto Velho (RO)","81.29"
"1100254","Presidente Médici (RO)","1.79"
"1100262","Rio Crespo (RO)","0.46"
"1100288","Rolim de Moura (RO)","5.59"
"1100296","Santa Luzia D'Oeste (RO)","0.68"
"1100304","Vilhena (RO)","11.02"
"1100320","São Miguel do Guaporé (RO)","2.80"
"1100338","Nova Mamoré (RO)","2.33"
"1100346","Alvorada D'Oeste (RO)","1.13"
"1100379","Alto Alegre dos Parecis (RO)","1.45"
"1100403","Alto Paraíso (RO)","1.38"
"1100452","Buritis (RO)","3.28"
"1100502","Novo Horizonte do Oeste (RO)","0.73"
"1100601","Cacaulândia (RO)","0.61"
"1100700","Campo Novo de Rondônia (RO)","1.36"
"1100809","Candeias do Jamari (RO)","2.65"
"1100908","Castanheiras (RO)","0.48"
"1100924","Chupinguaia (RO)","1.21"
"1100940","Cujubim (RO)","1.59"
"1101005","Governador Jorge Teixeira (RO)","0.79"
"1101104","Itapuã do Oeste (RO)","0.79"
"1101203","Ministro Andreazza (RO)","0.94"
"1101302","Mirante da Serra (RO)","0.92"
"1101401","Monte Negro (RO)","1.16"
"1101435","Nova União (RO)","0.52"
"1101450","Parecis (RO)","0.44"
"1101468","Pimenteiras do Oeste (RO)","0.43"
"1101476","Primavera de Rondônia (RO)","0.27"
"1101484","São Felipe D'Oeste (RO)","0.39"
"1101492","São Francisco do Guaporé (RO)","1.68"
"1101500","Seringueiras (RO)","1.04"
"1101559","Teixeirópolis (RO)","0.36"
"1101609","Theobroma (RO)","0.80"
"1101708","Urupá (RO)","0.90"
"1101757","Vale do Anari (RO)","0.65"
"1101807","Vale do Paraíso (RO)","0.61"
"1200013","Acrelândia (AC)","2.02"
"1200054","Assis Brasil (AC)","0.81"
"1200104","Brasiléia (AC)","3.40"
"1200138","Bujari (AC)","1.39"
"1200179","Capixaba (AC)","1.50"
"1200203","Cruzeiro do Sul (AC)","44.78"
"1200252","Epitaciolândia (AC)","3.83"
"1200302","Feijó (AC)","12.20"
"1200328","Jordão (AC)","2.73"
"1200336","Mâncio Lima (AC)","6.76"
"1200344","Manoel Urbano (AC)","1.19"
"1200351","Marechal Thaumaturgo (AC)","6.79"
"1200385","Plácido de Castro (AC)","2.12"
"1200393","Porto Walter (AC)","3.92"
"1200401","Rio Branco (AC)","71.53"
"1200427","Rodrigues Alves (AC)","6.43"
"1200435","Santa Rosa do Purus (AC)","0.63"
"1200450","Senador Guiomard (AC)","3.16"
"1200500","Sena Madureira (AC)","4.39"
"1200609","Tarauacá (AC)","16.37"
"1200708","Xapuri (AC)","2.03"
"1200807","Porto Acre (AC)","2.02"
"1300029","Alvarães (AM)","0.19"
"1300060","Amaturá (AM)","2.53"
"1300086","Anamã (AM)","0.13"
"1300102","Anori (AM)","0.22"
"1300144","Apuí (AM)","6.09"
"1300201","Atalaia do Norte (AM)","4.41"
"1300300","Autazes (AM)","0.38"
"1300409","Barcelos (AM)","16.99"
"1300508","Barreirinha (AM)","0.28"
"1300607","Benjamin Constant (AM)","8.75"
"1300631","Beruri (AM)","0.16"
"1300680","Boa Vista do Ramos (AM)","0.15"
"1300706","Boca do Acre (AM)","11.48"
"1300805","Borba (AM)","9.32"
"1300839","Caapiranga (AM)","0.17"
"1300904","Canutama (AM)","3.24"
"1301001","Carauari (AM)","8.93"
"1301100","Careiro (AM)","0.32"
"1301159","Careiro da Várzea (AM)","0.36"
"1301209","Coari (AM)","1.54"
"1301308","Codajás (AM)","0.54"
"1301407","Eirunepé (AM)","13.56"
"1301506","Envira (AM)","4.65"
"1301605","Fonte Boa (AM)","5.23"
"1301654","Guajará (AM)","3.62"
"1301704","Humaitá (AM)","17.48"
"1301803","Ipixuna (AM)","4.37"
"1301852","Iranduba (AM)","0.82"
"1301902","Itacoatiara (AM)","2.30"
"1301951","Itamarati (AM)","2.93"
"1302009","Itapiranga (AM)","0.13"
"1302108","Japurá (AM)","6.56"
"1302207","Juruá (AM)","3.12"
"1302306","Jutaí (AM)","6.83"
"1302405","Lábrea (AM)","15.59"
"1302504","Manacapuru (AM)","1.78"
"1302553","Manaquiri (AM)","0.27"
"1302603","Manaus (AM)","85.23"
"1302702","Manicoré (AM)","15.62"
"1302801","Maraã (AM)","16.34"
"1302900","Maués (AM)","0.53"
"1303007","Nhamundá (AM)","0.17"
"1303106","Nova Olinda do Norte (AM)","0.27"
"1303205","Novo Airão (AM)","13.93"
"1303304","Novo Aripuanã (AM)","5.76"
"1303403","Parintins (AM)","1.27"
"1303502","Pauini (AM)","4.75"
"1303536","Presidente Figueiredo (AM)","0.52"
"1303569","Rio Preto da Eva (AM)","0.45"
"1303601","Santa Isabel do Rio Negro (AM)","12.98"
"1303700","Santo Antônio do Içá (AM)","5.40"
"1303809","São Gabriel da Cachoeira (AM)","33.20"
"1303908","São Paulo de Olivença (AM)","7.36"
"1303957","São Sebastião do Uatumã (AM)","0.12"
"1304005","Silves (AM)","0.11"
"1304062","Tabatinga (AM)","14.44"
"1304104","Tapauá (AM)","10.67"
"1304203","Tefé (AM)","0.87"
"1304237","Tonantins (AM)","3.87"
"1304260","Uarini (AM)","0.22"
"1304302","Urucará (AM)","0.35"
"1304401","Urucurituba (AM)","0.17"
"1400027","Amajari (RR)","1.58"
"1400050","Alto Alegre (RR)","2.69"
"1400100","Boa Vista (RR)","86.52"
"1400159","Bonfim (RR)","2.58"
"1400175","Cantá (RR)","2.40"
"1400209","Caracaraí (RR)","19.80"
"1400233","Caroebe (RR)","9.21"
"1400282","Iracema (RR)","8.54"
"1400308","Mucajaí (RR)","16.94"
"1400407","Normandia (RR)","1.44"
"1400456","Pacaraima (RR)","1.66"
"1400472","Rorainópolis (RR)","30.01"
"1400506","São João da Baliza (RR)","8.76"
"1400605","São Luiz (RR)","6.74"
"1400704","Uiramutã (RR)","1.13"
"1500107","Abaetetuba (PA)","7.20"
"1500131","Abel Figueiredo (PA)","0.14"
"1500206","Acará (PA)","5.02"
"1500305","Afuá (PA)","7.78"
"1500347","Água Azul do Norte (PA)","0.77"
"1500404","Alenquer (PA)","5.06"
"1500503","Almeirim (PA)","5.53"
"1500602","Altamira (PA)","21.71"
"1500701","Anajás (PA)","4.45"
"1500800","Ananindeua (PA)","13.73"
"1500859","Anapu (PA)","3.05"
"1500909","Augusto Corrêa (PA)","1.79"
"1500958","Aurora do Pará (PA)","1.49"
"1501006","Aveiro (PA)","1.26"
"1501105","Bagre (PA)","3.83"
"1501204","Baião (PA)","1.92"
"1501253","Bannach (PA)","0.13"
"1501303","Barcarena (PA)","9.48"
"1501402","Belém (PA)","59.51"
"1501451","Belterra (PA)","1.31"
"1501501","Benevides (PA)","2.74"
"1501576","Bom Jesus do Tocantins (PA)","0.29"
"1501600","Bonito (PA)","0.73"
"1501709","Bragança (PA)","6.01"
"1501725","Brasil Novo (PA)","2.08"
"1501758","Brejo Grande do Araguaia (PA)","0.14"
"1501782","Breu Branco (PA)","1.01"
"1501808","Breves (PA)","16.14"
"1501907","Bujaru (PA)","0.98"
"1501956","Cachoeira do Piriá (PA)","1.01"
"1502004","Cachoeira do Arari (PA)","3.75"
"1502103","Cametá (PA)","6.37"
