"cod_mun","nome_mun","pct_micro"
"1100015","Alta Floresta D'Oeste (RO)","9.08"
"1100023","Ariquemes (RO)","59.04"
"1100031","Cabixi (RO)","10.24"
"1100049","Cacoal (RO)","38.73"
"1100056","Cerejeiras (RO)","33.06"
"1100064","Colorado do Oeste (RO)","25.06"
"1100072","Corumbiara (RO)","24.35"
"1100080","Costa Marques (RO)","15.86"
"1100098","Espigão D'Oeste (RO)","10.52"
"1100106","Guajará-Mirim (RO)","59.07"
"1100114","Jaru (RO)","20.89"
"1100122","Ji-Paraná (RO)","44.72"
"1100130","Machadinho D'Oeste (RO)","15.61"
"1100148","Nova Brasilândia D'Oeste (RO)","23.84"
"1100155","Ouro Preto do Oeste (RO)","11.49"
"1100189","Pimenta Bueno (RO)","25.82"
"1100205","Porto Velho (RO)","87.13"
"1100254","Presidente Médici (RO)","6.13"
"1100262","Rio Crespo (RO)","2.73"
"1100288","Rolim de Moura (RO)","23.62"
"1100296","Santa Luzia D'Oeste (RO)","2.89"
"1100304","Vilhena (RO)","61.29"
"1100320","São Miguel do Guaporé (RO)","42.92"
"1100338","Nova Mamoré (RO)","2.50"
"1100346","Alvorada D'Oeste (RO)","17.35"
"1100379","Alto Alegre dos Parecis (RO)","6.11"
"1100403","Alto Paraíso (RO)","8.22"
"1100452","Buritis (RO)","3.52"
"1100502","Novo Horizonte do Oeste (RO)","3.06"
"1100601","Cacaulândia (RO)","3.62"
"1100700","Campo Novo de Rondônia (RO)","1.46"
"1100809","Candeias do Jamari (RO)","2.84"
"1100908","Castanheiras (RO)","2.03"
"1100924","Chupinguaia (RO)","6.73"
"1100940","Cujubim (RO)","1.71"
"1101005","Governador Jorge Teixeira (RO)","2.70"
"1101104","Itapuã do Oeste (RO)","0.85"
"1101203","Ministro Andreazza (RO)","3.97"
"1101302","Mirante da Serra (RO)","3.14"
"1101401","Monte Negro (RO)","6.90"
"1101435","Nova União (RO)","1.80"
"1101450","Parecis (RO)","2.46"
"1101468","Pimenteiras do Oeste (RO)","7.30"
"1101476","Primavera de Rondônia (RO)","1.52"
"1101484","São Felipe D'Oeste (RO)","2.19"
"1101492","São Francisco do Guaporé (RO)","25.07"
"1101500","Seringueiras (RO)","15.89"
"1101559","Teixeirópolis (RO)","1.23"
"1101609","Theobroma (RO)","2.73"
"1101708","Urupá (RO)","3.09"
"1101757","Vale do Anari (RO)","3.88"
"1101807","Vale do Paraíso (RO)","2.08"
"1200013","Acrelândia (AC)","2.41"
"1200054","Assis Brasil (AC)","8.00"
"1200104","Brasiléia (AC)","33.82"
"1200138","Bujari (AC)","1.66"
"1200179","Capixaba (AC)","1.79"
"1200203","Cruzeiro do Sul (AC)","65.19"
"1200252","Epitaciolândia (AC)","38.01"
"1200302","Feijó (AC)","38.97"
"1200328","Jordão (AC)","8.73"
"1200336","Mâncio Lima (AC)","9.84"
"1200344","Manoel Urbano (AC)","19.17"
"1200351","Marechal Thaumaturgo (AC)","9.89"
"1200385","Plácido de Castro (AC)","2.53"
"1200393","Porto Walter (AC)","5.71"
"1200401","Rio Branco (AC)","85.43"
"1200427","Rodrigues Alves (AC)","9.37"
"1200435","Santa Rosa do Purus (AC)","10.08"
"1200450","Senador Guiomard (AC)","3.77"
"1200500","Sena Madureira (AC)","70.76"
"1200609","Tarauacá (AC)","52.30"
"1200708","Xapuri (AC)","20.17"
"1200807","Porto Acre (AC)","2.41"
"1300029","Alvarães (AM)","14.59"
"1300060","Amaturá (AM)","4.30"
"1300086","Anamã (AM)","4.56"
"1300102","Anori (AM)","8.14"
"1300144","Apuí (AM)","11.22"
"1300201","Atalaia do Norte (AM)","7.51"
"1300300","Autazes (AM)","0.43"
"1300409","Barcelos (AM)","22.04"
"1300508","Barreirinha (AM)","9.75"
"1300607","Benjamin Constant (AM)","14.87"
"1300631","Beruri (AM)","5.97"
"1300680","Boa Vista do Ramos (AM)","5.11"
"1300706","Boca do Acre (AM)","70.75"
"1300805","Borba (AM)","17.17"
"1300839","Caapiranga (AM)","6.01"
"1300904","Canutama (AM)","10.99"
"1301001","Carauari (AM)","21.68"
"1301100","Careiro (AM)","0.36"
"1301159","Careiro da Várzea (AM)","0.41"
"1301209","Coari (AM)","55.74"
"1301308","Codajás (AM)","19.59"
"1301407","Eirunepé (AM)","32.93"
"1301506","Envira (AM)","11.29"
"1301605","Fonte Boa (AM)","8.90"
"1301654","Guajará (AM)","8.79"
"1301704","Humaitá (AM)","32.21"
"1301803","Ipixuna (AM)","10.62"
"1301852","Iranduba (AM)","0.92"
"1301902","Itacoatiara (AM)","77.31"
"1301951","Itamarati (AM)","7.12"
"1302009","Itapiranga (AM)","4.20"
"1302108","Japurá (AM)","28.65"
"1302207","Juruá (AM)","7.57"
"1302306","Jutaí (AM)","11.61"
"1302405","Lábrea (AM)","52.84"
"1302504","Manacapuru (AM)","1.99"
"1302553","Manaquiri (AM)","0.31"
"1302603","Manaus (AM)","95.59"
"1302702","Manicoré (AM)","28.77"
"1302801","Maraã (AM)","71.35"
"1302900","Maués (AM)","18.67"
"1303007","Nhamundá (AM)","5.78"
"1303106","Nova Olinda do Norte (AM)","9.15"
"1303205","Novo Airão (AM)","18.06"
"1303304","Novo Aripuanã (AM)","10.62"
"1303403","Parintins (AM)","44.43"
"1303502","Pauini (AM)","29.25"
"1303536","Presidente Figueiredo (AM)","53.68"
"1303569","Rio Preto da Eva (AM)","46.32"
"1303601","Santa Isabel do Rio Negro (AM)","16.84"
"1303700","Santo Antônio do Içá (AM)","9.17"
"1303809","São Gabriel da Cachoeira (AM)","43.06"
"1303908","São Paulo de Olivença (AM)","12.52"
"1303957","São Sebastião do Uatumã (AM)","4.13"
"1304005","Silves (AM)","3.76"
"1304062","Tabatinga (AM)","24.55"
"1304104","Tapauá (AM)","36.17"
"1304203","Tefé (AM)","68.31"
"1304237","Tonantins (AM)","6.58"
"1304260","Uarini (AM)","17.10"
