"cod_mun","nome_mun","pct_uf"
"1100015","Alta Floresta D'Oeste (RO)","1.15"
"1100023","Ariquemes (RO)","5.28"
"1100031","Cabixi (RO)","0.32"
"1100049","Cacoal (RO)","4.89"
"1100056","Cerejeiras (RO)","1.03"
"1100064","Colorado do Oeste (RO)","0.78"
"1100072","Corumbiara (RO)","0.76"
"1100080","Costa Marques (RO)","0.50"
"1100098","Espigão D'Oeste (RO)","1.33"
"1100106","Guajará-Mirim (RO)","1.85"
"1100114","Jaru (RO)","3.25"
"1100122","Ji-Paraná (RO)","6.96"
"1100130","Machadinho D'Oeste (RO)","1.40"
"1100148","Nova Brasilândia D'Oeste (RO)","0.83"
"1100155","Ouro Preto do Oeste (RO)","1.79"
"1100189","Pimenta Bueno (RO)","2.47"
"1100205","Porto Velho (RO)","37.96"
"1100254","Presidente Médici (RO)","0.95"
"1100262","Rio Crespo (RO)","0.24"
"1100288","Rolim de Moura (RO)","2.98"
"1100296","Santa Luzia D'Oeste (RO)","0.36"
"1100304","Vilhena (RO)","5.87"
"1100320","São Miguel do Guaporé (RO)","1.49"
"1100338","Nova Mamoré (RO)","1.09"
"1100346","Alvorada D'Oeste (RO)","0.60"
"1100379","Alto Alegre dos Parecis (RO)","0.77"
"1100403","Alto Paraíso (RO)","0.74"
"1100452","Buritis (RO)","1.53"
"1100502","Novo Horizonte do Oeste (RO)","0.39"
"1100601","Cacaulândia (RO)","0.32"
"1100700","Campo Novo de Rondônia (RO)","0.64"
"1100809","Candeias do Jamari (RO)","1.24"
"1100908","Castanheiras (RO)","0.26"
"1100924","Chupinguaia (RO)","0.65"
"1100940","Cujubim (RO)","0.74"
"1101005","Governador Jorge Teixeira (RO)","0.42"
"1101104","Itapuã do Oeste (RO)","0.37"
"1101203","Ministro Andreazza (RO)","0.50"
"1101302","Mirante da Serra (RO)","0.49"
"1101401","Monte Negro (RO)","0.62"
"1101435","Nova União (RO)","0.28"
"1101450","Parecis (RO)","0.24"
"1101468","Pimenteiras do Oeste (RO)","0.23"
"1101476","Primavera de Rondônia (RO)","0.15"
"1101484","São Felipe D'Oeste (RO)","0.21"
"1101492","São Francisco do Guaporé (RO)","0.78"
"1101500","Seringueiras (RO)","0.55"
"1101559","Teixeirópolis (RO)","0.19"
"1101609","Theobroma (RO)","0.42"
"1101708","Urupá (RO)","0.48"
"1101757","Vale do Anari (RO)","0.35"
"1101807","Vale do Paraíso (RO)","0.32"
"1200013","Acrelândia (AC)","1.61"
"1200054","Assis Brasil (AC)","0.64"
"1200104","Brasiléia (AC)","2.72"
"1200138","Bujari (AC)","1.11"
"1200179","Capixaba (AC)","1.20"
"1200203","Cruzeiro do Sul (AC)","9.02"
"1200252","Epitaciolândia (AC)","3.05"
"1200302","Feijó (AC)","2.46"
"1200328","Jordão (AC)","0.55"
"1200336","Mâncio Lima (AC)","1.36"
"1200344","Manoel Urbano (AC)","0.95"
"1200351","Marechal Thaumaturgo (AC)","1.37"
"1200385","Plácido de Castro (AC)","1.69"
"1200393","Porto Walter (AC)","0.79"
"1200401","Rio Branco (AC)","57.12"
"1200427","Rodrigues Alves (AC)","1.30"
"1200435","Santa Rosa do Purus (AC)","0.50"
"1200450","Senador Guiomard (AC)","2.52"
"1200500","Sena Madureira (AC)","3.51"
"1200609","Tarauacá (AC)","3.30"
"1200708","Xapuri (AC)","1.62"
"1200807","Porto Acre (AC)","1.61"
"1300029","Alvarães (AM)","0.17"
"1300060","Amaturá (AM)","0.09"
"1300086","Anamã (AM)","0.12"
"1300102","Anori (AM)","0.21"
"1300144","Apuí (AM)","0.21"
"1300201","Atalaia do Norte (AM)","0.15"
"1300300","Autazes (AM)","0.35"
"1300409","Barcelos (AM)","0.17"
"1300508","Barreirinha (AM)","0.26"
"1300607","Benjamin Constant (AM)","0.30"
"1300631","Beruri (AM)","0.15"
"1300680","Boa Vista do Ramos (AM)","0.13"
"1300706","Boca do Acre (AM)","0.39"
"1300805","Borba (AM)","0.32"
"1300839","Caapiranga (AM)","0.15"
"1300904","Canutama (AM)","0.11"
"1301001","Carauari (AM)","0.31"
"1301100","Careiro (AM)","0.29"
"1301159","Careiro da Várzea (AM)","0.34"
"1301209","Coari (AM)","1.42"
"1301308","Codajás (AM)","0.50"
"1301407","Eirunepé (AM)","0.47"
"1301506","Envira (AM)","0.16"
"1301605","Fonte Boa (AM)","0.18"
"1301654","Guajará (AM)","0.12"
"1301704","Humaitá (AM)","0.60"
"1301803","Ipixuna (AM)","0.15"
"1301852","Iranduba (AM)","0.76"
"1301902","Itacoatiara (AM)","2.12"
"1301951","Itamarati (AM)","0.10"
"1302009","Itapiranga (AM)","0.12"
"1302108","Japurá (AM)","0.07"
"1302207","Juruá (AM)","0.11"
"1302306","Jutaí (AM)","0.23"
"1302405","Lábrea (AM)","0.53"
"1302504","Manacapuru (AM)","1.64"
"1302553","Manaquiri (AM)","0.25"
"1302603","Manaus (AM)","78.54"
"1302702","Manicoré (AM)","0.53"
"1302801","Maraã (AM)","0.17"
"1302900","Maués (AM)","0.49"
"1303007","Nhamundá (AM)","0.15"
"1303106","Nova Olinda do Norte (AM)","0.25"
