,cod_loja,mes,cnt_feriados
0,10,1,1.0
1,10,2,0.0
2,10,3,0.0
3,10,4,1.0
4,10,5,1.0
5,10,6,0.0
6,10,7,1.0
7,10,8,0.0
8,10,9,1.0
9,10,10,1.0
10,10,11,2.0
11,10,12,1.0
12,10,1,1.0
13,10,2,0.0
14,10,3,0.0
15,10,4,1.0
16,10,5,1.0
17,10,6,0.0
18,10,7,1.0
19,10,8,0.0
20,10,9,1.0
21,10,10,1.0
22,10,11,2.0
23,10,12,1.0
24,13,1,1.0
25,13,2,0.0
26,13,3,0.0
27,13,4,1.0
28,13,5,1.0
29,13,6,0.0
30,13,7,1.0
31,13,8,0.0
32,13,9,1.0
33,13,10,1.0
34,13,11,2.0
35,13,12,1.0
36,13,1,1.0
37,13,2,0.0
38,13,3,0.0
39,13,4,1.0
40,13,5,1.0
41,13,6,0.0
42,13,7,1.0
43,13,8,0.0
44,13,9,1.0
45,13,10,1.0
46,13,11,2.0
47,13,12,1.0
48,16,1,1.0
49,16,2,0.0
50,16,3,0.0
51,16,4,1.0
52,16,5,1.0
53,16,6,0.0
54,16,7,1.0
55,16,8,0.0
56,16,9,1.0
57,16,10,1.0
58,16,11,2.0
59,16,12,1.0
60,16,1,1.0
61,16,2,0.0
62,16,3,0.0
63,16,4,1.0
64,16,5,1.0
65,16,6,0.0
66,16,7,1.0
67,16,8,0.0
68,16,9,1.0
69,16,10,1.0
70,16,11,2.0
71,16,12,1.0
72,21,1,1.0
73,21,2,0.0
74,21,3,0.0
75,21,4,1.0
76,21,5,1.0
77,21,6,0.0
78,21,7,1.0
79,21,8,0.0
80,21,9,1.0
81,21,10,1.0
82,21,11,2.0
83,21,12,1.0
84,21,1,1.0
85,21,2,0.0
86,21,3,0.0
87,21,4,1.0
88,21,5,1.0
89,21,6,0.0
90,21,7,1.0
91,21,8,0.0
92,21,9,1.0
93,21,10,1.0
94,21,11,2.0
95,21,12,1.0
96,28,1,1.0
97,28,2,0.0
98,28,3,0.0
99,28,4,1.0
100,28,5,1.0
101,28,6,0.0
102,28,7,1.0
103,28,8,0.0
104,28,9,1.0
105,28,10,1.0
106,28,11,2.0
107,28,12,1.0
108,28,1,1.0
109,28,2,0.0
110,28,3,0.0
111,28,4,1.0
112,28,5,1.0
113,28,6,0.0
114,28,7,1.0
115,28,8,0.0
116,28,9,1.0
117,28,10,1.0
118,28,11,2.0
119,28,12,1.0
120,41,1,1.0
121,41,2,0.0
122,41,3,0.0
123,41,4,1.0
124,41,5,1.0
125,41,6,0.0
126,41,7,1.0
127,41,8,0.0
128,41,9,1.0
129,41,10,1.0
130,41,11,2.0
131,41,12,1.0
132,41,1,1.0
133,41,2,0.0
134,41,3,0.0
135,41,4,1.0
136,41,5,1.0
137,41,6,0.0
138,41,7,1.0
139,41,8,0.0
140,41,9,1.0
141,41,10,1.0
142,41,11,2.0
143,41,12,1.0
144,55,1,1.0
145,55,2,0.0
146,55,3,0.0
147,55,4,1.0
148,55,5,1.0
149,55,6,0.0
150,55,7,1.0
151,55,8,0.0
152,55,9,1.0
153,55,10,1.0
154,55,11,2.0
