"cod_mun","nome_mun","impostos_liq"
"1100015","Alta Floresta D'Oeste (RO)","28793"
"1100023","Ariquemes (RO)","232012"
"1100031","Cabixi (RO)","5494"
"1100049","Cacoal (RO)","217835"
"1100056","Cerejeiras (RO)","63713"
"1100064","Colorado do Oeste (RO)","22775"
"1100072","Corumbiara (RO)","9390"
"1100080","Costa Marques (RO)","8034"
"1100098","Espigão D'Oeste (RO)","47335"
"1100106","Guajará-Mirim (RO)","112001"
"1100114","Jaru (RO)","156461"
"1100122","Ji-Paraná (RO)","399801"
"1100130","Machadinho D'Oeste (RO)","34151"
"1100148","Nova Brasilândia D'Oeste (RO)","22990"
"1100155","Ouro Preto do Oeste (RO)","58834"
"1100189","Pimenta Bueno (RO)","168995"
"1100205","Porto Velho (RO)","1814437"
"1100254","Presidente Médici (RO)","35437"
"1100262","Rio Crespo (RO)","3416"
"1100288","Rolim de Moura (RO)","102625"
"1100296","Santa Luzia D'Oeste (RO)","6798"
"1100304","Vilhena (RO)","330461"
"1100320","São Miguel do Guaporé (RO)","37587"
"1100338","Nova Mamoré (RO)","20301"
"1100346","Alvorada D'Oeste (RO)","11963"
"1100379","Alto Alegre dos Parecis (RO)","12820"
"1100403","Alto Paraíso (RO)","18874"
"1100452","Buritis (RO)","46094"
"1100502","Novo Horizonte do Oeste (RO)","6911"
"1100601","Cacaulândia (RO)","3937"
"1100700","Campo Novo de Rondônia (RO)","9125"
"1100809","Candeias do Jamari (RO)","32484"
"1100908","Castanheiras (RO)","2517"
"1100924","Chupinguaia (RO)","12670"
"1100940","Cujubim (RO)","14540"
"1101005","Governador Jorge Teixeira (RO)","5756"
"1101104","Itapuã do Oeste (RO)","7693"
"1101203","Ministro Andreazza (RO)","12319"
"1101302","Mirante da Serra (RO)","10729"
"1101401","Monte Negro (RO)","11477"
"1101435","Nova União (RO)","3719"
"1101450","Parecis (RO)","3401"
"1101468","Pimenteiras do Oeste (RO)","2746"
"1101476","Primavera de Rondônia (RO)","1967"
"1101484","São Felipe D'Oeste (RO)","4006"
"1101492","São Francisco do Guaporé (RO)","17134"
"1101500","Seringueiras (RO)","14641"
"1101559","Teixeirópolis (RO)","2875"
"1101609","Theobroma (RO)","4832"
"1101708","Urupá (RO)","9634"
"1101757","Vale do Anari (RO)","6488"
"1101807","Vale do Paraíso (RO)","4068"
"1200013","Acrelândia (AC)","10679"
"1200054","Assis Brasil (AC)","2802"
"1200104","Brasiléia (AC)","28437"
"1200138","Bujari (AC)","2469"
"1200179","Capixaba (AC)","4800"
"1200203","Cruzeiro do Sul (AC)","127526"
"1200252","Epitaciolândia (AC)","72056"
"1200302","Feijó (AC)","12221"
"1200328","Jordão (AC)","1484"
"1200336","Mâncio Lima (AC)","4006"
"1200344","Manoel Urbano (AC)","5681"
"1200351","Marechal Thaumaturgo (AC)","3664"
"1200385","Plácido de Castro (AC)","8715"
"1200393","Porto Walter (AC)","2773"
"1200401","Rio Branco (AC)","1072152"
"1200427","Rodrigues Alves (AC)","2567"
"1200435","Santa Rosa do Purus (AC)","1595"
"1200450","Senador Guiomard (AC)","22493"
"1200500","Sena Madureira (AC)","17700"
"1200609","Tarauacá (AC)","19504"
"1200708","Xapuri (AC)","7650"
"1200807","Porto Acre (AC)","6301"
"1300029","Alvarães (AM)","2002"
"1300060","Amaturá (AM)","1252"
"1300086","Anamã (AM)","2235"
"1300102","Anori (AM)","2713"
"1300144","Apuí (AM)","6132"
"1300201","Atalaia do Norte (AM)","2534"
"1300300","Autazes (AM)","9433"
"1300409","Barcelos (AM)","3942"
"1300508","Barreirinha (AM)","4681"
"1300607","Benjamin Constant (AM)","9025"
"1300631","Beruri (AM)","2984"
"1300680","Boa Vista do Ramos (AM)","3170"
"1300706","Boca do Acre (AM)","17141"
"1300805","Borba (AM)","9530"
"1300839","Caapiranga (AM)","1871"
"1300904","Canutama (AM)","2487"
"1301001","Carauari (AM)","8096"
"1301100","Careiro (AM)","8647"
"1301159","Careiro da Várzea (AM)","3225"
"1301209","Coari (AM)","54053"
"1301308","Codajás (AM)","4660"
"1301407","Eirunepé (AM)","8057"
"1301506","Envira (AM)","2229"
"1301605","Fonte Boa (AM)","5220"
"1301654","Guajará (AM)","2968"
"1301704","Humaitá (AM)","33413"
"1301803","Ipixuna (AM)","2088"
"1301852","Iranduba (AM)","35445"
"1301902","Itacoatiara (AM)","239979"
"1301951","Itamarati (AM)","2487"
"1302009","Itapiranga (AM)","2593"
"1302108","Japurá (AM)","1444"
"1302207","Juruá (AM)","2601"
"1302306","Jutaí (AM)","5134"
"1302405","Lábrea (AM)","15158"
"1302504","Manacapuru (AM)","37132"
"1302553","Manaquiri (AM)","5436"
"1302603","Manaus (AM)","13930218"
"1302702","Manicoré (AM)","14742"
"1302801","Maraã (AM)","1997"
"1302900","Maués (AM)","17729"
"1303007","Nhamundá (AM)","3704"
"1303106","Nova Olinda do Norte (AM)","6532"
"1303205","Novo Airão (AM)","4440"
"1303304","Novo Aripuanã (AM)","5031"
"1303403","Parintins (AM)","42607"
"1303502","Pauini (AM)","2679"
"1303536","Presidente Figueiredo (AM)","27871"
"1303569","Rio Preto da Eva (AM)","16377"
"1303601","Santa Isabel do Rio Negro (AM)","2145"
"1303700","Santo Antônio do Içá (AM)","5230"
"1303809","São Gabriel da Cachoeira (AM)","16217"
"1303908","São Paulo de Olivença (AM)","4362"
"1303957","São Sebastião do Uatumã (AM)","2236"
"1304005","Silves (AM)","2091"
"1304062","Tabatinga (AM)","27090"
"1304104","Tapauá (AM)","2769"
"1304203","Tefé (AM)","30835"
"1304237","Tonantins (AM)","2445"
"1304260","Uarini (AM)","3394"
"1304302","Urucará (AM)","4949"
"1304401","Urucurituba (AM)","3841"
"1400027","Amajari (RR)","1256"
"1400050","Alto Alegre (RR)","2796"
"1400100","Boa Vista (RR)","779987"
"1400159","Bonfim (RR)","2704"
"1400175","Cantá (RR)","13997"
"1400209","Caracaraí (RR)","19614"
"1400233","Caroebe (RR)","2268"
"1400282","Iracema (RR)","2045"
"1400308","Mucajaí (RR)","15872"
"1400407","Normandia (RR)","1101"
"1400456","Pacaraima (RR)","5254"
"1400472","Rorainópolis (RR)","50860"
"1400506","São João da Baliza (RR)","17990"
"1400605","São Luiz (RR)","5503"
"1400704","Uiramutã (RR)","627"
"1500107","Abaetetuba (PA)","98657"
"1500131","Abel Figueiredo (PA)","4863"
"1500206","Acará (PA)","18380"
"1500305","Afuá (PA)","8630"
"1500347","Água Azul do Norte (PA)","49916"
"1500404","Alenquer (PA)","13797"
"1500503","Almeirim (PA)","59728"
"1500602","Altamira (PA)","218164"
"1500701","Anajás (PA)","8422"
"1500800","Ananindeua (PA)","824858"
"1500859","Anapu (PA)","29550"
"1500909","Augusto Corrêa (PA)","7793"
"1500958","Aurora do Pará (PA)","7533"
"1501006","Aveiro (PA)","1985"
"1501105","Bagre (PA)","3195"
"1501204","Baião (PA)","8555"
"1501253","Bannach (PA)","2003"
"1501303","Barcarena (PA)","1092422"
"1501402","Belém (PA)","4627524"
"1501451","Belterra (PA)","5014"
"1501501","Benevides (PA)","267169"
"1501576","Bom Jesus do Tocantins (PA)","10239"
"1501600","Bonito (PA)","14804"
"1501709","Bragança (PA)","67076"
"1501725","Brasil Novo (PA)","14443"
"1501758","Brejo Grande do Araguaia (PA)","3255"
"1501782","Breu Branco (PA)","42740"
"1501808","Breves (PA)","39254"
"1501907","Bujaru (PA)","8616"
"1501956","Cachoeira do Piriá (PA)","5228"
"1502004","Cachoeira do Arari (PA)","3559"
"1502103","Cametá (PA)","38611"
"1502152","Canaã dos Carajás (PA)","192512"
"1502202","Capanema (PA)","127780"
"1502301","Capitão Poço (PA)","20640"
"1502400","Castanhal (PA)","552933"
"1502509","Chaves (PA)","2963"
"1502608","Colares (PA)","1939"
"1502707","Conceição do Araguaia (PA)","44299"
"1502756","Concórdia do Pará (PA)","12239"
"1502764","Cumaru do Norte (PA)","5100"
"1502772","Curionópolis (PA)","26811"
"1502806","Curralinho (PA)","8351"
"1502855","Curuá (PA)","2938"
"1502905","Curuçá (PA)","7858"
"1502939","Dom Eliseu (PA)","53448"
"1502954","Eldorado do Carajás (PA)","24242"
"1503002","Faro (PA)","1228"
"1503044","Floresta do Araguaia (PA)","9801"
"1503077","Garrafão do Norte (PA)","6257"
"1503093","Goianésia do Pará (PA)","20967"
"1503101","Gurupá (PA)","5900"
"1503200","Igarapé-Açu (PA)","17363"
"1503309","Igarapé-Miri (PA)","15787"
"1503408","Inhangapi (PA)","4553"
"1503457","Ipixuna do Pará (PA)","20013"
"1503507","Irituia (PA)","8761"
"1503606","Itaituba (PA)","173525"
"1503705","Itupiranga (PA)","18123"
"1503754","Jacareacanga (PA)","47239"
"1503804","Jacundá (PA)","33580"
"1503903","Juruti (PA)","40184"
"1504000","Limoeiro do Ajuru (PA)","4897"
"1504059","Mãe do Rio (PA)","21983"
"1504109","Magalhães Barata (PA)","2027"
"1504208","Marabá (PA)","827879"
"1504307","Maracanã (PA)","5567"
"1504406","Marapanim (PA)","6337"
"1504422","Marituba (PA)","255524"
"1504455","Medicilândia (PA)","21299"
"1504505","Melgaço (PA)","3388"
"1504604","Mocajuba (PA)","9427"
"1504703","Moju (PA)","54206"
"1504752","Mojuí dos Campos (PA)","5100"
"1504802","Monte Alegre (PA)","25800"
"1504901","Muaná (PA)","6604"
"1504950","Nova Esperança do Piriá (PA)","6427"
"1504976","Nova Ipixuna (PA)","6329"
"1505007","Nova Timboteua (PA)","5403"
"1505031","Novo Progresso (PA)","47460"
"1505064","Novo Repartimento (PA)","54497"
"1505106","Óbidos (PA)","24786"
"1505205","Oeiras do Pará (PA)","7294"
"1505304","Oriximiná (PA)","108069"
"1505403","Ourém (PA)","6946"
"1505437","Ourilândia do Norte (PA)","87473"
"1505486","Pacajá (PA)","24298"
"1505494","Palestina do Pará (PA)","1774"
"1505502","Paragominas (PA)","225384"
"1505536","Parauapebas (PA)","577328"
"1505551","Pau D'Arco (PA)","2263"
"1505601","Peixe-Boi (PA)","1995"
"1505635","Piçarra (PA)","9013"
"1505650","Placas (PA)","8783"
"1505700","Ponta de Pedras (PA)","5645"
"1505809","Portel (PA)","18022"
"1505908","Porto de Moz (PA)","8820"
"1506005","Prainha (PA)","6092"
"1506104","Primavera (PA)","23290"
"1506112","Quatipuru (PA)","2557"
"1506138","Redenção (PA)","219516"
"1506161","Rio Maria (PA)","55990"
"1506187","Rondon do Pará (PA)","28951"
"1506195","Rurópolis (PA)","19578"
"1506203","Salinópolis (PA)","34822"
"1506302","Salvaterra (PA)","6102"
"1506351","Santa Bárbara do Pará (PA)","12537"
"1506401","Santa Cruz do Arari (PA)","991"
"1506500","Santa Izabel do Pará (PA)","64122"
"1506559","Santa Luzia do Pará (PA)","7892"
"1506583","Santa Maria das Barreiras (PA)","11712"
"1506609","Santa Maria do Pará (PA)","15592"
"1506708","Santana do Araguaia (PA)","74645"
"1506807","Santarém (PA)","418192"
"1506906","Santarém Novo (PA)","1044"
"1507003","Santo Antônio do Tauá (PA)","16811"
"1507102","São Caetano de Odivelas (PA)","3814"
"1507151","São Domingos do Araguaia (PA)","15445"
"1507201","São Domingos do Capim (PA)","6304"
"1507300","São Félix do Xingu (PA)","76092"
"1507409","São Francisco do Pará (PA)","11547"
"1507458","São Geraldo do Araguaia (PA)","45558"
"1507466","São João da Ponta (PA)","883"
"1507474","São João de Pirabas (PA)","7731"
"1507508","São João do Araguaia (PA)","3906"
"1507607","São Miguel do Guamá (PA)","33015"
"1507706","São Sebastião da Boa Vista (PA)","4680"
"1507755","Sapucaia (PA)","9733"
"1507805","Senador José Porfírio (PA)","4847"
"1507904","Soure (PA)","6316"
"1507953","Tailândia (PA)","77508"
"1507961","Terra Alta (PA)","2107"
"1507979","Terra Santa (PA)","9230"
"1508001","Tomé-Açu (PA)","40482"
"1508035","Tracuateua (PA)","6300"
"1508050","Trairão (PA)","22565"
"1508084","Tucumã (PA)","98439"
"1508100","Tucuruí (PA)","102957"
"1508126","Ulianópolis (PA)","37980"
"1508159","Uruará (PA)","28857"
"1508209","Vigia (PA)","17884"
"1508308","Viseu (PA)","15373"
"1508357","Vitória do Xingu (PA)","88215"
"1508407","Xinguara (PA)","183786"
"1600055","Serra do Navio (AP)","1732"
"1600105","Amapá (AP)","8786"
"1600154","Pedra Branca do Amapari (AP)","34764"
"1600204","Calçoene (AP)","4862"
"1600212","Cutias (AP)","980"
"1600238","Ferreira Gomes (AP)","4434"
"1600253","Itaubal (AP)","740"
"1600279","Laranjal do Jari (AP)","18892"
"1600303","Macapá (AP)","763352"
"1600402","Mazagão (AP)","2962"
"1600501","Oiapoque (AP)","23312"
"1600535","Porto Grande (AP)","17166"
"1600550","Pracuúba (AP)","636"
"1600600","Santana (AP)","120794"
"1600709","Tartarugalzinho (AP)","2676"
"1600808","Vitória do Jari (AP)","3227"
"1700251","Abreulândia (TO)","1763"
"1700301","Aguiarnópolis (TO)","11880"
"1700350","Aliança do Tocantins (TO)","4199"
"1700400","Almas (TO)","5359"
"1700707","Alvorada (TO)","41292"
"1701002","Ananás (TO)","6025"
"1701051","Angico (TO)","1206"
"1701101","Aparecida do Rio Negro (TO)","2933"
"1701309","Aragominas (TO)","1672"
"1701903","Araguacema (TO)","3948"
"1702000","Araguaçu (TO)","7666"
"1702109","Araguaína (TO)","415857"
"1702158","Araguanã (TO)","1775"
"1702208","Araguatins (TO)","18977"
"1702307","Arapoema (TO)","3849"
"1702406","Arraias (TO)","13036"
"1702554","Augustinópolis (TO)","14711"
"1702703","Aurora do Tocantins (TO)","1252"
"1702901","Axixá do Tocantins (TO)","3973"
"1703008","Babaçulândia (TO)","2898"
"1703057","Bandeirantes do Tocantins (TO)","1929"
"1703073","Barra do Ouro (TO)","1384"
"1703107","Barrolândia (TO)","5476"
"1703206","Bernardo Sayão (TO)","4768"
"1703305","Bom Jesus do Tocantins (TO)","1404"
"1703602","Brasilândia do Tocantins (TO)","2556"
"1703701","Brejinho de Nazaré (TO)","3661"
"1703800","Buriti do Tocantins (TO)","4110"
"1703826","Cachoeirinha (TO)","871"
"1703842","Campos Lindos (TO)","26017"
"1703867","Cariri do Tocantins (TO)","51561"
"1703883","Carmolândia (TO)","1815"
"1703891","Carrasco Bonito (TO)","887"
"1703909","Caseara (TO)","4564"
"1704105","Centenário (TO)","949"
"1704600","Chapada de Areia (TO)","638"
"1705102","Chapada da Natividade (TO)","1742"
"1705508","Colinas do Tocantins (TO)","65697"
"1705557","Combinado (TO)","4927"
"1705607","Conceição do Tocantins (TO)","2889"
"1706001","Couto Magalhães (TO)","7003"
"1706100","Cristalândia (TO)","5498"
"1706258","Crixás do Tocantins (TO)","1792"
"1706506","Darcinópolis (TO)","8377"
"1707009","Dianópolis (TO)","21231"
