cod_loja,mes,receita
10,1,5046.407948717947
10,2,3836.9061187214634
10,3,4641.766589861749
10,4,4612.981296296296
10,5,6763.523318777291
10,6,6003.279649122807
10,7,4054.736184210525
10,8,5309.172807017543
10,9,4665.157575757573
10,10,4805.897807017544
10,11,5991.272008733623
10,12,9236.20596774194
1795,1,5046.407948717947
1795,2,3836.9061187214634
1795,3,4641.766589861749
1795,4,4612.981296296296
1795,5,6763.523318777291
1795,6,6003.279649122807
1795,7,4054.736184210525
1795,8,5309.172807017543
1795,9,4665.157575757573
1795,10,4805.897807017544
1795,11,5991.272008733623
1795,12,9236.20596774194
3213,1,5046.407948717947
3213,2,3836.9061187214634
3213,3,4641.766589861749
3213,4,4612.981296296296
3213,5,6763.523318777291
3213,6,6003.279649122807
3213,7,4054.736184210525
3213,8,5309.172807017543
3213,9,4665.157575757573
3213,10,4805.897807017544
3213,11,5991.272008733623
3213,12,9236.20596774194
13,1,1763.1503773584902
13,2,1199.751132075472
13,3,1567.6247916666669
13,4,1487.6950980392157
13,5,2473.808653846154
13,6,2205.371730769231
13,7,1560.1386538461543
13,8,1824.5740384615387
13,9,1552.8266666666668
13,10,1593.3700000000006
13,11,1797.3346296296295
13,12,3000.442115384615
272,1,1763.1503773584902
272,2,1199.751132075472
272,3,1567.6247916666669
272,4,1487.6950980392157
272,5,2473.808653846154
272,6,2205.371730769231
272,7,1560.1386538461543
272,8,1824.5740384615387
272,9,1552.8266666666668
272,10,1593.3700000000006
272,11,1797.3346296296295
272,12,3000.442115384615
16,1,5721.7255208333345
16,2,4140.6606153846105
16,3,4867.448848167537
16,4,5203.30542105263
16,5,7503.293999999994
16,6,6902.89758974359
16,7,4604.506335078534
16,8,5976.453664921465
16,9,5168.374375000004
16,10,5141.458770053478
16,11,6363.573072916662
16,12,9824.193056994818
21,1,6622.789642857147
21,2,4791.757090909094
21,3,6162.058301886794
21,4,5284.955925925926
21,5,7279.75517857143
21,6,7013.318727272726
21,7,5281.837592592593
21,8,6802.993962264153
21,9,5615.908545454546
21,10,5670.034259259259
21,11,6849.229636363636
21,12,10867.643859649117
28,1,10893.279890891057
28,2,8791.872915375818
28,3,10646.421111475403
28,4,10701.937021835483
28,5,15898.27278833545
28,6,12918.300827067678
28,7,10049.985088036827
28,8,13134.859804822074
28,9,10778.511206473766
28,10,11342.067813163489
28,11,13477.356891585761
28,12,27187.683338681207
308,1,10893.279890891057
308,2,8791.872915375818
308,3,10646.421111475403
308,4,10701.937021835483
308,5,15898.27278833545
308,6,12918.300827067678
308,7,10049.985088036827
308,8,13134.859804822074
308,9,10778.511206473766
308,10,11342.067813163489
308,11,13477.356891585761
308,12,27187.683338681207
315,1,10893.279890891057
315,2,8791.872915375818
315,3,10646.421111475403
315,4,10701.937021835483
315,5,15898.27278833545
315,6,12918.300827067678
315,7,10049.985088036827
315,8,13134.859804822074
315,9,10778.511206473766
315,10,11342.067813163489
315,11,13477.356891585761
315,12,27187.683338681207
353,1,10893.279890891057
353,2,8791.872915375818
353,3,10646.421111475403
353,4,10701.937021835483
353,5,15898.27278833545
353,6,12918.300827067678
353,7,10049.985088036827
353,8,13134.859804822074
353,9,10778.511206473766
353,10,11342.067813163489
353,11,13477.356891585761
353,12,27187.683338681207
867,1,10893.279890891057
867,2,8791.872915375818
867,3,10646.421111475403
867,4,10701.937021835483
867,5,15898.27278833545
867,6,12918.300827067678
867,7,10049.985088036827
