cod_loja,mes,ano,receita
10,1,2016,6851.975507246377
10,1,2017,5858.744197530866
10,2,2016,4808.792463768118
10,2,2017,5003.799852941175
10,3,2016,5455.60811594203
10,3,2017,6260.2482608695655
10,4,2016,6178.797761194026
10,4,2017,6128.555223880596
10,5,2016,8515.792352941175
10,5,2017,8265.86111111111
10,6,2016,8056.7029850746285
10,6,2017,6997.3185185185175
10,7,2016,5760.2666666666655
10,7,2017,4444.5821951219505
10,8,2016,6813.298382352941
10,8,2017,6481.030886075951
10,9,2016,5984.460285714285
10,9,2017,5799.354691358023
10,10,2016,6633.698235294118
10,10,2017,5666.608227848102
10,11,2016,7920.134999999999
10,11,2017,6868.386075949367
10,12,2016,11616.72926829268
10,12,2017,11020.644166666661
3213,1,2016,6851.975507246377
3213,1,2017,5858.744197530866
3213,2,2016,4808.792463768118
3213,2,2017,5003.799852941175
3213,3,2016,5455.60811594203
3213,3,2017,6260.2482608695655
3213,4,2016,6178.797761194026
3213,4,2017,6128.555223880596
3213,5,2016,8515.792352941175
3213,5,2017,8265.86111111111
3213,6,2016,8056.7029850746285
3213,6,2017,6997.3185185185175
3213,7,2016,5760.2666666666655
3213,7,2017,4444.5821951219505
3213,8,2016,6813.298382352941
3213,8,2017,6481.030886075951
3213,9,2016,5984.460285714285
3213,9,2017,5799.354691358023
3213,10,2016,6633.698235294118
3213,10,2017,5666.608227848102
3213,11,2016,7920.134999999999
3213,11,2017,6868.386075949367
3213,12,2016,11616.72926829268
3213,12,2017,11020.644166666661
16,1,2016,13625.425000000001
16,1,2017,11836.10428571429
16,2,2016,9637.314285714283
16,2,2017,9922.350714285714
16,3,2016,8991.683571428572
16,3,2017,11836.725000000002
16,4,2016,11962.201428571425
16,4,2017,11921.422142857136
16,5,2016,15293.732142857141
16,5,2017,15659.164999999997
16,6,2016,17409.787857142856
16,6,2017,15877.363571428565
16,7,2016,10385.014285714278
16,7,2017,9959.737857142858
16,8,2016,14182.484999999999
16,8,2017,13180.538571428571
16,9,2016,11233.07571428572
16,9,2017,11824.99428571428
16,10,2016,11435.171428571428
16,10,2017,10919.905714285715
16,11,2016,18340.138571428564
16,11,2017,16518.479999999996
16,12,2016,22398.94857142856
16,12,2017,25393.656923076902
28,1,2016,12007.883366133623
28,1,2017,10509.757451060332
28,2,2016,8967.532101626013
28,2,2017,9242.68582500997
28,3,2016,10750.59002468121
28,3,2017,11344.857651515147
28,4,2016,11333.053852796045
28,4,2017,10835.708332666947
28,5,2016,15964.975970636164
28,5,2017,16666.26661723445
28,6,2016,12731.702177814004
28,6,2017,13930.635624750506
28,7,2016,10571.3813245578
28,7,2017,10207.54562049639
28,8,2016,13124.089547492853
28,8,2017,13916.351215513785
28,9,2016,10903.224402592139
28,9,2017,11409.675312000025
28,10,2016,11836.361973419233
28,10,2017,11568.393198071477
28,11,2016,13538.365514883348
28,11,2017,14118.11575147929
28,12,2016,28174.635106299236
28,12,2017,28104.862971043258
308,1,2016,12007.883366133623
308,1,2017,10509.757451060332
308,2,2016,8967.532101626013
308,2,2017,9242.68582500997
308,3,2016,10750.59002468121
308,3,2017,11344.857651515147
308,4,2016,11333.053852796045
308,4,2017,10835.708332666947
308,5,2016,15964.975970636164
308,5,2017,16666.26661723445
308,6,2016,12731.702177814004
308,6,2017,13930.635624750506
308,7,2016,10571.3813245578
308,7,2017,10207.54562049639
308,8,2016,13124.089547492853
308,8,2017,13916.351215513785
308,9,2016,10903.224402592139
308,9,2017,11409.675312000025
308,10,2016,11836.361973419233
308,10,2017,11568.393198071477
308,11,2016,13538.365514883348
308,11,2017,14118.11575147929
308,12,2016,28174.635106299236
308,12,2017,28104.862971043258
315,1,2016,12007.883366133623
315,1,2017,10509.757451060332
315,2,2016,8967.532101626013
315,2,2017,9242.68582500997
315,3,2016,10750.59002468121
315,3,2017,11344.857651515147
315,4,2016,11333.053852796045
315,4,2017,10835.708332666947
315,5,2016,15964.975970636164
315,5,2017,16666.26661723445
315,6,2016,12731.702177814004
315,6,2017,13930.635624750506
315,7,2016,10571.3813245578
315,7,2017,10207.54562049639
315,8,2016,13124.089547492853
315,8,2017,13916.351215513785
315,9,2016,10903.224402592139
315,9,2017,11409.675312000025
315,10,2016,11836.361973419233
315,10,2017,11568.393198071477
315,11,2016,13538.365514883348
315,11,2017,14118.11575147929
315,12,2016,28174.635106299236
315,12,2017,28104.862971043258
353,1,2016,12007.883366133623
353,1,2017,10509.757451060332
353,2,2016,8967.532101626013
353,2,2017,9242.68582500997
353,3,2016,10750.59002468121
353,3,2017,11344.857651515147
353,4,2016,11333.053852796045
353,4,2017,10835.708332666947
353,5,2016,15964.975970636164
353,5,2017,16666.26661723445
353,6,2016,12731.702177814004
353,6,2017,13930.635624750506
353,7,2016,10571.3813245578
353,7,2017,10207.54562049639
353,8,2016,13124.089547492853
353,8,2017,13916.351215513785
353,9,2016,10903.224402592139
353,9,2017,11409.675312000025
353,10,2016,11836.361973419233
353,10,2017,11568.393198071477
353,11,2016,13538.365514883348
353,11,2017,14118.11575147929
353,12,2016,28174.635106299236
353,12,2017,28104.862971043258
867,1,2016,12007.883366133623
867,1,2017,10509.757451060332
867,2,2016,8967.532101626013
867,2,2017,9242.68582500997
867,3,2016,10750.59002468121
867,3,2017,11344.857651515147
867,4,2016,11333.053852796045
867,4,2017,10835.708332666947
867,5,2016,15964.975970636164
867,5,2017,16666.26661723445
867,6,2016,12731.702177814004
867,6,2017,13930.635624750506
867,7,2016,10571.3813245578
867,7,2017,10207.54562049639
867,8,2016,13124.089547492853
867,8,2017,13916.351215513785
867,9,2016,10903.224402592139
867,9,2017,11409.675312000025
867,10,2016,11836.361973419233
867,10,2017,11568.393198071477
867,11,2016,13538.365514883348
867,11,2017,14118.11575147929
867,12,2016,28174.635106299236
867,12,2017,28104.862971043258
903,1,2016,12007.883366133623
903,1,2017,10509.757451060332
903,2,2016,8967.532101626013
903,2,2017,9242.68582500997
903,3,2016,10750.59002468121
903,3,2017,11344.857651515147
903,4,2016,11333.053852796045
903,4,2017,10835.708332666947
903,5,2016,15964.975970636164
903,5,2017,16666.26661723445
903,6,2016,12731.702177814004
903,6,2017,13930.635624750506
903,7,2016,10571.3813245578
903,7,2017,10207.54562049639
903,8,2016,13124.089547492853
903,8,2017,13916.351215513785
903,9,2016,10903.224402592139
903,9,2017,11409.675312000025
903,10,2016,11836.361973419233
903,10,2017,11568.393198071477
903,11,2016,13538.365514883348
903,11,2017,14118.11575147929
903,12,2016,28174.635106299236
903,12,2017,28104.862971043258
1065,1,2016,12007.883366133623
1065,1,2017,10509.757451060332
1065,2,2016,8967.532101626013
1065,2,2017,9242.68582500997
1065,3,2016,10750.59002468121
1065,3,2017,11344.857651515147
1065,4,2016,11333.053852796045
1065,4,2017,10835.708332666947
1065,5,2016,15964.975970636164
1065,5,2017,16666.26661723445
1065,6,2016,12731.702177814004
1065,6,2017,13930.635624750506
1065,7,2016,10571.3813245578
1065,7,2017,10207.54562049639
1065,8,2016,13124.089547492853
1065,8,2017,13916.351215513785
1065,9,2016,10903.224402592139
1065,9,2017,11409.675312000025
1065,10,2016,11836.361973419233
1065,10,2017,11568.393198071477
1065,11,2016,13538.365514883348
1065,11,2017,14118.11575147929
1065,12,2016,28174.635106299236
1065,12,2017,28104.862971043258
1234,1,2016,12007.883366133623
1234,1,2017,10509.757451060332
1234,2,2016,8967.532101626013
1234,2,2017,9242.68582500997
1234,3,2016,10750.59002468121
1234,3,2017,11344.857651515147
1234,4,2016,11333.053852796045
1234,4,2017,10835.708332666947
1234,5,2016,15964.975970636164
1234,5,2017,16666.26661723445
1234,6,2016,12731.702177814004
1234,6,2017,13930.635624750506
1234,7,2016,10571.3813245578
1234,7,2017,10207.54562049639
1234,8,2016,13124.089547492853
1234,8,2017,13916.351215513785
1234,9,2016,10903.224402592139
1234,9,2017,11409.675312000025
1234,10,2016,11836.361973419233
1234,10,2017,11568.393198071477
1234,11,2016,13538.365514883348
1234,11,2017,14118.11575147929
1234,12,2016,28174.635106299236
1234,12,2017,28104.862971043258
1267,1,2016,12007.883366133623
1267,1,2017,10509.757451060332
1267,2,2016,8967.532101626013
1267,2,2017,9242.68582500997
1267,3,2016,10750.59002468121
1267,3,2017,11344.857651515147
1267,4,2016,11333.053852796045
1267,4,2017,10835.708332666947
1267,5,2016,15964.975970636164
1267,5,2017,16666.26661723445
1267,6,2016,12731.702177814004
1267,6,2017,13930.635624750506
1267,7,2016,10571.3813245578
1267,7,2017,10207.54562049639
1267,8,2016,13124.089547492853
1267,8,2017,13916.351215513785
1267,9,2016,10903.224402592139
1267,9,2017,11409.675312000025
1267,10,2016,11836.361973419233
1267,10,2017,11568.393198071477
1267,11,2016,13538.365514883348
1267,11,2017,14118.11575147929
1267,12,2016,28174.635106299236
1267,12,2017,28104.862971043258
1322,1,2016,12007.883366133623
1322,1,2017,10509.757451060332
1322,2,2016,8967.532101626013
1322,2,2017,9242.68582500997
1322,3,2016,10750.59002468121
1322,3,2017,11344.857651515147
1322,4,2016,11333.053852796045
1322,4,2017,10835.708332666947
1322,5,2016,15964.975970636164
1322,5,2017,16666.26661723445
1322,6,2016,12731.702177814004
1322,6,2017,13930.635624750506
1322,7,2016,10571.3813245578
1322,7,2017,10207.54562049639
1322,8,2016,13124.089547492853
1322,8,2017,13916.351215513785
1322,9,2016,10903.224402592139
1322,9,2017,11409.675312000025
1322,10,2016,11836.361973419233
1322,10,2017,11568.393198071477
1322,11,2016,13538.365514883348
1322,11,2017,14118.11575147929
1322,12,2016,28174.635106299236
1322,12,2017,28104.862971043258
1361,1,2016,12007.883366133623
1361,1,2017,10509.757451060332
1361,2,2016,8967.532101626013
1361,2,2017,9242.68582500997
1361,3,2016,10750.59002468121
1361,3,2017,11344.857651515147
1361,4,2016,11333.053852796045
1361,4,2017,10835.708332666947
1361,5,2016,15964.975970636164
1361,5,2017,16666.26661723445
1361,6,2016,12731.702177814004
1361,6,2017,13930.635624750506
1361,7,2016,10571.3813245578
1361,7,2017,10207.54562049639
1361,8,2016,13124.089547492853
1361,8,2017,13916.351215513785
1361,9,2016,10903.224402592139
1361,9,2017,11409.675312000025
1361,10,2016,11836.361973419233
1361,10,2017,11568.393198071477
1361,11,2016,13538.365514883348
1361,11,2017,14118.11575147929
1361,12,2016,28174.635106299236
1361,12,2017,28104.862971043258
1419,1,2016,12007.883366133623
1419,1,2017,10509.757451060332
1419,2,2016,8967.532101626013
1419,2,2017,9242.68582500997
1419,3,2016,10750.59002468121
1419,3,2017,11344.857651515147
1419,4,2016,11333.053852796045
1419,4,2017,10835.708332666947
1419,5,2016,15964.975970636164
1419,5,2017,16666.26661723445
1419,6,2016,12731.702177814004
1419,6,2017,13930.635624750506
1419,7,2016,10571.3813245578
1419,7,2017,10207.54562049639
1419,8,2016,13124.089547492853
1419,8,2017,13916.351215513785
1419,9,2016,10903.224402592139
1419,9,2017,11409.675312000025
1419,10,2016,11836.361973419233
1419,10,2017,11568.393198071477
1419,11,2016,13538.365514883348
1419,11,2017,14118.11575147929
1419,12,2016,28174.635106299236
1419,12,2017,28104.862971043258
1452,1,2016,12007.883366133623
1452,1,2017,10509.757451060332
1452,2,2016,8967.532101626013
1452,2,2017,9242.68582500997
1452,3,2016,10750.59002468121
1452,3,2017,11344.857651515147
1452,4,2016,11333.053852796045
1452,4,2017,10835.708332666947
1452,5,2016,15964.975970636164
1452,5,2017,16666.26661723445
1452,6,2016,12731.702177814004
1452,6,2017,13930.635624750506
1452,7,2016,10571.3813245578
1452,7,2017,10207.54562049639
1452,8,2016,13124.089547492853
1452,8,2017,13916.351215513785
1452,9,2016,10903.224402592139
1452,9,2017,11409.675312000025
1452,10,2016,11836.361973419233
1452,10,2017,11568.393198071477
1452,11,2016,13538.365514883348
1452,11,2017,14118.11575147929
1452,12,2016,28174.635106299236
1452,12,2017,28104.862971043258
1462,1,2016,12007.883366133623
1462,1,2017,10509.757451060332
1462,2,2016,8967.532101626013
1462,2,2017,9242.68582500997
1462,3,2016,10750.59002468121
1462,3,2017,11344.857651515147
1462,4,2016,11333.053852796045
1462,4,2017,10835.708332666947
1462,5,2016,15964.975970636164
1462,5,2017,16666.26661723445
1462,6,2016,12731.702177814004
1462,6,2017,13930.635624750506
1462,7,2016,10571.3813245578
1462,7,2017,10207.54562049639
1462,8,2016,13124.089547492853
1462,8,2017,13916.351215513785
1462,9,2016,10903.224402592139
1462,9,2017,11409.675312000025
1462,10,2016,11836.361973419233
1462,10,2017,11568.393198071477
1462,11,2016,13538.365514883348
1462,11,2017,14118.11575147929
1462,12,2016,28174.635106299236
1462,12,2017,28104.862971043258
1507,1,2016,12007.883366133623
1507,1,2017,10509.757451060332
1507,2,2016,8967.532101626013
1507,2,2017,9242.68582500997
1507,3,2016,10750.59002468121
1507,3,2017,11344.857651515147
1507,4,2016,11333.053852796045
1507,4,2017,10835.708332666947
1507,5,2016,15964.975970636164
1507,5,2017,16666.26661723445
1507,6,2016,12731.702177814004
1507,6,2017,13930.635624750506
1507,7,2016,10571.3813245578
1507,7,2017,10207.54562049639
1507,8,2016,13124.089547492853
1507,8,2017,13916.351215513785
1507,9,2016,10903.224402592139
1507,9,2017,11409.675312000025
1507,10,2016,11836.361973419233
1507,10,2017,11568.393198071477
1507,11,2016,13538.365514883348
1507,11,2017,14118.11575147929
1507,12,2016,28174.635106299236
1507,12,2017,28104.862971043258
1518,1,2016,12007.883366133623
1518,1,2017,10509.757451060332
1518,2,2016,8967.532101626013
1518,2,2017,9242.68582500997
1518,3,2016,10750.59002468121
1518,3,2017,11344.857651515147
1518,4,2016,11333.053852796045
1518,4,2017,10835.708332666947
1518,5,2016,15964.975970636164
1518,5,2017,16666.26661723445
1518,6,2016,12731.702177814004
1518,6,2017,13930.635624750506
1518,7,2016,10571.3813245578
1518,7,2017,10207.54562049639
1518,8,2016,13124.089547492853
1518,8,2017,13916.351215513785
1518,9,2016,10903.224402592139
1518,9,2017,11409.675312000025
1518,10,2016,11836.361973419233
1518,10,2017,11568.393198071477
1518,11,2016,13538.365514883348
1518,11,2017,14118.11575147929
1518,12,2016,28174.635106299236
1518,12,2017,28104.862971043258
1551,1,2016,12007.883366133623
1551,1,2017,10509.757451060332
1551,2,2016,8967.532101626013
1551,2,2017,9242.68582500997
1551,3,2016,10750.59002468121
1551,3,2017,11344.857651515147
1551,4,2016,11333.053852796045
1551,4,2017,10835.708332666947
1551,5,2016,15964.975970636164
1551,5,2017,16666.26661723445
1551,6,2016,12731.702177814004
1551,6,2017,13930.635624750506
1551,7,2016,10571.3813245578
1551,7,2017,10207.54562049639
1551,8,2016,13124.089547492853
1551,8,2017,13916.351215513785
1551,9,2016,10903.224402592139
1551,9,2017,11409.675312000025
1551,10,2016,11836.361973419233
1551,10,2017,11568.393198071477
1551,11,2016,13538.365514883348
1551,11,2017,14118.11575147929
1551,12,2016,28174.635106299236
1551,12,2017,28104.862971043258
1734,1,2016,12007.883366133623
1734,1,2017,10509.757451060332
1734,2,2016,8967.532101626013
1734,2,2017,9242.68582500997
1734,3,2016,10750.59002468121
1734,3,2017,11344.857651515147
1734,4,2016,11333.053852796045
1734,4,2017,10835.708332666947
1734,5,2016,15964.975970636164
1734,5,2017,16666.26661723445
1734,6,2016,12731.702177814004
1734,6,2017,13930.635624750506
1734,7,2016,10571.3813245578
1734,7,2017,10207.54562049639
1734,8,2016,13124.089547492853
1734,8,2017,13916.351215513785
1734,9,2016,10903.224402592139
1734,9,2017,11409.675312000025
1734,10,2016,11836.361973419233
1734,10,2017,11568.393198071477
1734,11,2016,13538.365514883348
1734,11,2017,14118.11575147929
1734,12,2016,28174.635106299236
1734,12,2017,28104.862971043258
