cod_loja,UF
1,41
140,41
1205,41
1305,41
1610,41
2266,41
2,53
76,53
77,53
439,53
440,53
441,53
449,53
458,53
513,53
523,53
557,53
615,53
854,53
1020,53
1078,53
1183,53
1253,53
1313,53
1318,53
1945,53
2142,53
2145,53
3289,53
3290,53
3292,53
3295,53
3351,53
3352,53
3355,53
3465,53
3497,53
3643,53
3645,53
3647,53
3649,53
3,35
27,35
34,35
35,35
36,35
199,35
260,35
283,35
295,35
349,35
357,35
389,35
393,35
413,35
536,35
539,35
587,35
622,35
623,35
624,35
630,35
693,35
726,35
743,35
799,35
800,35
803,35
821,35
835,35
848,35
855,35
900,35
902,35
904,35
937,35
1016,35
1017,35
1024,35
1063,35
1064,35
1066,35
1115,35
1118,35
1129,35
1163,35
1166,35
1170,35
1171,35
1182,35
1197,35
1202,35
1211,35
1223,35
1227,35
1228,35
1229,35
1233,35
1243,35
1249,35
1260,35
1263,35
1264,35
1265,35
1266,35
1268,35
1269,35
1280,35
1282,35
1316,35
1342,35
1357,35
1367,35
1371,35
1387,35
1388,35
1407,35
1450,35
1457,35
1459,35
1487,35
1539,35
1559,35
1571,35
1586,35
1615,35
1616,35
1617,35
1661,35
1666,35
1681,35
1683,35
1698,35
1703,35
1717,35
1761,35
1857,35
1873,35
1907,35
1909,35
1915,35
1916,35
1935,35
1958,35
1985,35
1996,35
2006,35
2042,35
2049,35
2059,35
2060,35
2092,35
2158,35
2185,35
2200,35
2232,35
2235,35
2256,35
2265,35
2268,35
2270,35
2281,35
2292,35
2314,35
2317,35
2326,35
2346,35
2353,35
2355,35
2363,35
2364,35
2392,35
2401,35
2407,35
2424,35
2437,35
2438,35
2444,35
2448,35
2458,35
2536,35
2560,35
2567,35
2575,35
2598,35
2602,35
2819,35
2829,35
2871,35
2878,35
2903,35
2906,35
2907,35
2908,35
2909,35
2911,35
2924,35
2980,35
2981,35
3017,35
3060,35
3068,35
3092,35
3100,35
3151,35
3209,35
3221,35
3222,35
3226,35
3239,35
3254,35
3269,35
3306,35
3336,35
3337,35
3338,35
3339,35
3341,35
3342,35
3343,35
3448,35
3449,35
3466,35
3482,35
3502,35
4,31
2409,31
5,16
359,16
1072,16
1741,16
2577,16
2642,16
3264,16
3265,16
6,11
7,11
8,27
9,27
169,27
488,27
2001,27
2002,27
2003,27
2004,27
2005,27
2007,27
2011,27
2012,27
2289,27
2683,27
2706,27
2925,27
11,29
1241,29
1972,29
1989,29
2447,29
3266,29
12,29
14,26
716,26
2030,26
15,26
2098,26
17,29
18,29
19,29
20,29
548,29
2765,29
2973,29
22,29
23,29
1397,29
1721,29
2305,29
2841,29
3358,29
24,25
25,25
1311,25
26,35
270,35
510,35
656,35
1062,35
1324,35
1566,35
2103,35
2301,35
2307,35
2457,35
3018,35
29,35
1938,35
2157,35
2231,35
30,35
1511,35
1922,35
31,35
2868,35
32,35
33,35
783,35
1019,35
1572,35
1625,35
37,35
2584,35
2627,35
38,35
294,35
379,35
2295,35
39,35
2880,35
3305,35
40,35
1889,35
42,35
1400,35
43,35
44,33
45,33
46,33
164,33
174,33
267,33
284,33
343,33
372,33
428,33
470,33
471,33
599,33
942,33
1252,33
1665,33
1951,33
2031,33
2242,33
2263,33
2455,33
2516,33
2590,33
2681,33
2777,33
2780,33
2781,33
2782,33
2783,33
2784,33
2785,33
2786,33
2789,33
2790,33
2791,33
2794,33
2797,33
2798,33
2799,33
2800,33
3005,33
3006,33
3007,33
3009,33
3010,33
3011,33
3012,33
3013,33
3014,33
3132,33
3133,33
3224,33
3333,33
3439,33
3455,33
3572,33
3573,33
3574,33
3575,33
3576,33
3577,33
3578,33
3579,33
3659,33
3660,33
3662,33
3663,33
3664,33
3665,33
3666,33
47,33
48,33
1637,33
49,33
50,32
196,32
754,32
948,32
1348,32
1365,32
2478,32
3485,32
3486,32
3487,32
3488,32
3489,32
3491,32
3494,32
3495,32
51,35
52,35
1521,35
2599,35
2657,35
53,35
1377,35
2831,35
2995,35
54,35
1802,35
56,35
1587,35
1668,35
1746,35
1758,35
1883,35
1911,35
2209,35
57,35
2361,35
58,35
59,35
60,35
1392,35
1476,35
1673,35
2264,35
3055,35
3176,35
3230,35
3335,35
3375,35
3376,35
61,35
204,35
723,35
1203,35
1204,35
1815,35
2027,35
2054,35
2255,35
2282,35
2303,35
2561,35
2668,35
2682,35
2720,35
3477,35
3481,35
62,35
1085,35
1490,35
3548,35
63,35
65,35
66,14
640,14
1315,14
1866,14
2445,14
2993,14
3020,14
67,43
1198,43
1372,43
1891,43
2399,43
2678,43
2916,43
68,43
69,43
70,43
71,43
1339,43
72,22
159,22
386,22
567,22
568,22
578,22
1294,22
1723,22
1952,22
2630,22
3034,22
3048,22
3245,22
74,23
78,31
371,31
709,31
1312,31
1505,31
3110,31
3216,31
3273,31
3361,31
79,31
1333,31
2676,31
80,31
410,31
957,31
81,31
446,31
1285,31
1406,31
1506,31
1670,31
3002,31
83,31
697,31
85,31
86,31
88,31
89,31
2953,31
90,31
1272,31
91,31
1684,31
2446,31
92,31
93,31
1553,31
1578,31
1679,31
2362,31
94,31
293,31
447,31
2342,31
3304,31
95,31
96,31
97,31
831,31
2530,31
2756,31
98,31
291,31
1854,31
1877,31
100,52
237,52
1079,52
1319,52
1352,52
1442,52
1710,52
101,52
102,52
104,52
515,52
105,52
107,52
108,52
109,52
1643,52
1974,52
110,51
111,51
175,51
176,51
720,51
1255,51
1880,51
1995,51
2000,51
2412,51
2670,51
2671,51
112,51
563,51
1488,51
3346,51
113,51
114,50
115,50
116,17
