cod_loja,uf_meso
10,296.0
13,296.0
16,295.0
21,293.0
28,3515.0
41,3512.0
55,353.0
64,352.0
73,213.0
75,235.0
82,315.0
84,3110.0
87,3110.0
99,319.0
103,524.0
106,525.0
117,172.0
119,422.0
127,4110.0
129,413.0
132,412.0
178,317.0
200,416.0
201,323.0
202,3112.0
203,352.0
206,315.0
213,312.0
215,351.0
220,413.0
232,3510.0
234,511.0
235,435.0
240,241.0
241,242.0
242,296.0
254,336.0
255,435.0
261,417.0
262,431.0
272,296.0
278,318.0
285,357.0
300,352.0
302,3110.0
303,171.0
308,3515.0
315,3515.0
323,424.0
327,352.0
333,292.0
334,212.0
339,242.0
344,523.0
353,3515.0
355,222.0
375,431.0
381,352.0
384,154.0
394,335.0
420,315.0
427,273.0
448,262.0
450,324.0
452,293.0
461,415.0
476,3512.0
480,523.0
486,4110.0
501,3112.0
514,323.0
520,419.0
522,323.0
526,296.0
540,265.0
543,263.0
545,156.0
556,513.0
560,424.0
561,273.0
566,336.0
572,317.0
575,435.0
588,525.0
592,3510.0
596,3512.0
601,513.0
603,3110.0
610,3110.0
618,435.0
620,435.0
636,317.0
637,416.0
641,312.0
645,292.0
646,3112.0
652,435.0
653,416.0
678,352.0
680,236.0
683,503.0
685,315.0
715,317.0
730,523.0
733,319.0
750,3515.0
756,212.0
758,222.0
777,333.0
791,297.0
812,424.0
813,426.0
820,356.0
841,3110.0
857,432.0
861,294.0
866,514.0
867,3515.0
868,357.0
876,3512.0
885,3515.0
903,3515.0
907,421.0
914,3514.0
929,244.0
936,244.0
938,3515.0
944,172.0
950,294.0
952,523.0
953,435.0
967,271.0
974,315.0
975,265.0
1007,315.0
1008,434.0
1013,431.0
1025,3515.0
1027,336.0
1034,317.0
1036,523.0
1039,264.0
1059,3515.0
1065,3515.0
1073,154.0
1082,354.0
1089,3512.0
1093,283.0
1094,3515.0
1099,354.0
1106,336.0
1109,424.0
1114,425.0
1124,316.0
1126,336.0
1145,321.0
1148,322.0
1151,213.0
1153,317.0
1156,3512.0
1173,3110.0
1175,222.0
1180,263.0
1186,3512.0
1196,3512.0
1199,323.0
1208,512.0
1213,435.0
1226,353.0
1234,3515.0
1246,263.0
1247,3512.0
1254,352.0
1267,3515.0
1274,292.0
1283,334.0
1287,211.0
1292,437.0
1298,413.0
1308,336.0
1314,121.0
1317,263.0
1321,525.0
1322,3515.0
1334,315.0
1335,212.0
1359,214.0
1360,211.0
1361,3515.0
1374,3110.0
1382,297.0
1384,3111.0
1385,291.0
1390,317.0
1396,293.0
1398,212.0
1403,435.0
1415,3110.0
1418,215.0
1419,3515.0
1421,356.0
1422,502.0
1447,293.0
1448,317.0
1452,3515.0
1460,295.0
1462,3515.0
1485,3515.0
1499,356.0
1500,3110.0
1502,3515.0
1503,211.0
1507,3515.0
1510,295.0
1518,3515.0
1523,357.0
1524,317.0
1527,3514.0
1531,352.0
1551,3515.0
1563,525.0
1568,281.0
1569,413.0
1570,3512.0
1574,156.0
1580,525.0
1595,212.0
1598,422.0
1602,3510.0
1613,297.0
1626,357.0
1632,3513.0
1667,354.0
1669,523.0
1674,356.0
1685,3110.0
1686,3515.0
1696,133.0
1708,243.0
1724,435.0
1732,156.0
1734,3515.0
1743,435.0
1752,435.0
1754,3515.0
1757,3515.0
1760,315.0
1768,419.0
1774,323.0
1787,3515.0
1788,254.0
1789,323.0
1794,322.0
1795,296.0
1799,357.0
1808,511.0
1811,503.0
1819,316.0
1824,293.0
1835,273.0
1842,172.0
1843,253.0
1851,282.0
1853,211.0
1858,514.0
1861,244.0
1862,3515.0
1863,273.0
1872,421.0
1874,318.0
1882,351.0
1885,3515.0
1890,3515.0
1896,3515.0
1899,336.0
1901,357.0
1918,244.0
1919,3515.0
1927,358.0
1930,317.0
1933,243.0
1944,3513.0
1949,4110.0
1982,531.0
1984,357.0
1986,411.0
1990,423.0
1992,358.0
2009,273.0
2015,531.0
2018,311.0
2020,352.0
2028,3515.0
2040,3513.0
2046,336.0
2050,523.0
2066,336.0
2068,237.0
2070,424.0
2072,3515.0
2074,3510.0
2091,237.0
2096,317.0
2111,265.0
2116,523.0
2120,424.0
2128,413.0
2132,531.0
2136,317.0
2139,422.0
2152,317.0
2153,317.0
2163,317.0
2165,283.0
2166,283.0
2171,283.0
2173,3515.0
2177,4110.0
2181,4110.0
2193,4110.0
2195,4110.0
2201,3515.0
2207,4110.0
2223,162.0
2236,3515.0
2240,422.0
2241,265.0
2250,3515.0
2262,3512.0
2277,3515.0
2283,311.0
2284,317.0
2294,416.0
2296,3515.0
2321,315.0
2334,415.0
2337,242.0
2341,265.0
2347,4110.0
2367,434.0
2368,524.0
2379,272.0
2380,336.0
2382,317.0
2386,352.0
2388,336.0
2390,295.0
2410,296.0
2420,435.0
2423,435.0
2426,425.0
2436,352.0
2451,437.0
2452,244.0
2454,431.0
2461,336.0
2463,413.0
2464,416.0
2469,283.0
2481,3515.0
2487,3513.0
2488,233.0
2513,4110.0
2527,317.0
2537,3515.0
2543,273.0
2550,3515.0
2562,4110.0
2564,231.0
2579,233.0
2580,294.0
2585,3515.0
2594,431.0
2596,431.0
2604,353.0
2613,413.0
2637,3515.0
2646,354.0
2649,513.0
2650,236.0
2651,431.0
2652,155.0
2655,436.0
2665,172.0
2667,511.0
2673,3515.0
2688,111.0
2689,336.0
2700,4110.0
2702,336.0
2704,334.0
2708,3512.0
2724,318.0
2730,317.0
2733,3515.0
2741,313.0
2745,236.0
2746,234.0
2748,316.0
2752,323.0
2755,3515.0
2757,357.0
2761,435.0
2763,352.0
2774,211.0
2779,336.0
2792,336.0
2801,262.0
2815,3511.0
2822,3511.0
2828,3513.0
2840,323.0
2847,3513.0
2855,3112.0
2860,236.0
2867,422.0
2877,336.0
2889,424.0
2894,357.0
2910,3515.0
2929,358.0
2932,233.0
2934,317.0
2945,3515.0
2950,122.0
2954,415.0
2966,435.0
2976,336.0
2984,336.0
2992,4110.0
3004,336.0
3008,336.0
3033,413.0
3054,263.0
3057,514.0
3069,3515.0
3082,222.0
3086,352.0
3096,525.0
3103,336.0
3109,431.0
3114,112.0
3121,3513.0
3138,434.0
3156,3513.0
3164,4110.0
3168,4110.0
3169,357.0
3182,112.0
3186,3515.0
3197,435.0
3199,3110.0
3200,3110.0
3206,418.0
3208,3515.0
3213,296.0
3236,352.0
3243,3110.0
3251,336.0
3252,3515.0
3261,3515.0
3263,3513.0
3274,3515.0
3284,3512.0
3285,413.0
3287,413.0
3301,355.0
3307,261.0
3310,261.0
3316,424.0
3323,214.0
3326,213.0
3340,3515.0
3344,153.0
3359,3515.0
3367,253.0
3368,253.0
3371,435.0
3383,295.0
3389,295.0
3394,295.0
3396,295.0
3406,3510.0
3415,3515.0
3416,295.0
3426,295.0
3432,295.0
3433,295.0
3450,254.0
3457,232.0
3464,317.0
3472,156.0
3475,3515.0
3478,4110.0
3480,254.0
3493,323.0
3512,265.0
3533,265.0
3539,265.0
3549,3512.0
3552,435.0
3557,436.0
3559,435.0
3565,265.0
3566,265.0
3568,265.0
3592,153.0
3593,153.0
3598,153.0
3599,153.0
3605,153.0
3608,153.0
3617,3515.0
3621,432.0
3627,237.0
3636,265.0
3644,531.0
3650,323.0
3661,336.0
3667,295.0
3674,523.0
3675,424.0
3684,296.0
