cod_loja;faturamento
10;148433.203125
13;115826.8828125
16;145264.78125
21;78724.0625
28;177774.734375
41;137193.796875
55;112750.375
64;144013.5
73;184824.171875
75;143702.171875
82;164818.1875
84;137410.375
87;81962.0234375
99;80402.8203125
103;118690.9140625
106;74862.5
117;105793.15625
119;113682.4453125
127;78444.5703125
129;145186.828125
132;161539.875
178;239049.859375
200;94937.3125
201;86576.59375
202;100561.96875
203;114937.1171875
206;105215.7734375
213;141855.625
215;165393.9375
220;106495.7109375
232;108333.8359375
234;122267.5234375
235;90402.5625
240;75079.0625
241;114766.75
242;73140.3671875
254;125340.0234375
255;306601.40625
261;49205.33203125
262;155735.890625
272;56385.984375
278;77696.6015625
285;154433.328125
300;102335.375
302;104771.21875
303;55139.44140625
308;168773.75
315;124545.8359375
323;119331.9453125
327;113440.1953125
333;94433.5703125
334;125709.2265625
339;63442.4375
344;123782.0859375
353;294445.96875
355;87392.9609375
375;89945.1953125
381;230873.109375
384;153390.984375
394;147396.25
420;121175.4609375
427;99196.0625
448;105142.2890625
450;217892.171875
452;103291.3828125
461;63582.05078125
476;179002.109375
480;246286.984375
486;90838.9921875
501;123116.6875
514;105535.625
520;123828.25
522;85753.1171875
526;80062.7265625
540;110888.8671875
543;67902.6640625
545;145317.546875
556;103376.6015625
560;155715.71875
561;105584.7578125
566;66957.265625
572;87060.9765625
575;54643.46484375
588;58103.22265625
592;79819.265625
596;147836.5625
601;60295.51171875
603;128378.0859375
610;75410.2109375
618;70887.9765625
620;101776.1328125
636;140650.484375
637;63229.0
641;158516.421875
645;197092.796875
646;196237.796875
652;205334.875
653;109685.96875
678;76076.7421875
680;89626.6640625
683;82878.71875
685;164974.484375
715;80603.0234375
730;74770.3515625
733;171923.453125
750;126108.0234375
756;88067.5390625
758;92720.1953125
771;106323.875
777;57094.11328125
791;69412.2109375
812;68785.84375
813;102280.3828125
820;70146.5
841;76543.0625
857;127251.6015625
861;127313.8828125
866;197565.375
867;127485.9765625
868;118351.90625
875;82724.5625
876;76985.015625
885;139153.484375
903;286396.0625
907;127773.125
914;87591.6953125
929;183699.015625
936;155597.609375
938;116533.7109375
944;95031.78125
950;122256.84375
952;77815.3828125
953;115898.625
967;97407.7109375
974;199723.4375
975;129725.5703125
1007;161680.8125
1008;104472.5078125
1013;61975.95703125
1025;232501.828125
1027;303201.28125
1034;85942.6015625
1036;113925.03125
1039;71275.4453125
1059;133623.203125
1065;182246.3125
1069;67005.125
1073;72781.3984375
1082;92863.8828125
1089;82582.6640625
1093;90007.8984375
1094;130868.96875
1099;72688.0
1106;132751.125
1109;186215.828125
1114;150669.890625
1124;83268.0
1126;133288.296875
1145;82220.7421875
1148;66888.5234375
1151;86794.4453125
1153;120955.4609375
1156;135714.15625
1164;102865.2265625
1173;80140.5546875
1175;76892.09375
1180;58132.23828125
1186;127035.7265625
1196;132591.140625
1199;115531.9296875
1208;158624.65625
1213;117178.9140625
1226;78748.4296875
1234;174709.875
1246;115952.46875
1247;168626.453125
1254;118977.6484375
1267;144117.953125
1274;99948.6953125
1279;60860.08203125
1283;79554.2578125
1287;83727.1328125
1292;91854.0234375
1298;233104.296875
1308;67469.0234375
1314;151341.203125
1317;221812.0
1321;86915.0546875
1322;248747.328125
1334;125605.4375
1335;92351.8828125
1359;106698.1796875
1360;91537.6171875
1361;79929.6484375
1374;148441.890625
1382;75870.578125
1384;73833.90625
1385;76124.0
1390;143562.109375
1396;235184.984375
1398;85504.515625
1403;88012.375
1415;83450.3515625
1418;172106.375
1419;127231.5625
1421;192173.625
1422;107622.875
1447;90996.6484375
1448;125741.7421875
1452;103951.2265625
1460;109275.4765625
1461;110370.9765625
1462;182116.015625
1485;126237.28125
1499;132344.796875
1500;114913.9921875
1502;125247.2265625
1503;76188.4609375
1507;111346.0078125
1510;99254.21875
1518;237687.265625
1523;120652.1875
1524;92440.40625
1527;135983.640625
1531;104069.8203125
1551;126116.0234375
1563;45192.18359375
1568;93523.1640625
1569;149005.65625
1570;145765.78125
1574;154589.3125
1580;115906.7578125
1595;95010.4140625
1598;46321.04296875
1602;65498.51171875
1605;131731.625
1613;58822.57421875
1623;102961.46875
1624;88949.6640625
1626;110700.8125
1632;77866.984375
1667;99276.96875
1669;68363.3203125
1674;110194.2265625
1685;73135.3828125
1686;266483.46875
1696;276254.46875
1708;52820.04296875
1724;94954.8671875
1732;127419.6875
1734;189831.375
1743;117863.5546875
1752;146575.234375
1754;110045.3203125
1757;141722.515625
1760;160641.421875
1768;141665.453125
1774;78787.5
1787;122431.9765625
1788;103287.0625
1789;107723.2890625
1794;41067.05859375
1795;57270.3125
1799;129004.5
1808;68978.4375
1809;123785.59375
1811;132976.375
1819;164907.953125
1824;53977.97265625
1835;75818.6640625
1842;244727.703125
1843;55138.578125
1851;86283.0078125
1853;120351.6953125
1858;83891.171875
1861;91912.8828125
1862;73594.6328125
1863;222082.578125
1869;65147.73046875
1872;117388.2578125
1874;122093.6015625
1882;54058.09375
1885;130980.25
1890;125199.9140625
1896;90431.3359375
1899;60945.0
1901;82662.65625
1918;196824.578125
1919;120411.2109375
1927;160006.34375
1930;95211.2265625
1933;95693.3046875
1944;115765.7734375
1949;137306.703125
1982;191156.171875
1984;140048.640625
1986;151765.828125
1990;53766.25
1992;72873.9140625
2009;126966.34375
2015;100273.1875
2018;72274.2421875
2020;161565.5
2028;185353.625
2040;73884.375
2046;163868.265625
2050;122893.625
2066;81973.3984375
2068;55595.76953125
2070;295386.53125
2072;137265.359375
2074;66933.6796875
2091;61401.82421875
2096;121026.7890625
2111;276629.4375
2116;133819.921875
2120;116115.2578125
2121;173153.984375
2128;92365.3671875
2132;347870.9375
2136;311262.03125
2139;174645.703125
2152;213252.265625
2153;106695.9609375
2163;182885.359375
2165;189395.4375
2166;316505.46875
2171;291514.84375
2173;133494.265625
2177;282242.875
2181;142789.4375
2193;131329.359375
2195;157889.671875
2201;141954.1875
2207;143495.6875
2223;64278.859375
2236;184879.953125
2240;65371.58203125
2241;108346.7421875
2250;123254.53125
2262;94371.1015625
2277;128010.3046875
2283;60196.25
2284;188390.671875
2294;104438.7109375
2296;74608.9765625
2306;74684.875
2321;220808.703125
2334;60860.98046875
2337;62031.59375
2341;108396.8828125
2347;203878.484375
2367;53339.71484375
2368;116950.3359375
2376;217420.765625
2379;63040.26171875
2380;135963.5625
2382;152199.6875
2386;107008.4609375
2388;109763.6640625
2390;116031.4375
2403;185764.453125
2410;82981.8828125
2416;61683.79296875
2420;101771.8125
2423;67732.25
2426;249172.796875
2436;77572.1796875
2451;86624.1484375
2452;96701.3046875
2454;86157.359375
2461;156196.921875
2463;223116.921875
2464;101025.125
2469;49762.90234375
3390;172692.9375
2481;103578.9765625
2487;131271.890625
2488;103619.1484375
2494;144142.390625
2504;171882.328125
2513;101522.96875
2527;49177.60546875
2535;116206.78125
2537;208102.3125
2543;47853.26171875
2550;120984.1484375
2562;95490.4765625
2564;75879.9375
2579;107091.375
2580;101899.65625
2585;51312.78125
2594;99990.2734375
2596;141989.046875
2604;86302.0625
2613;59111.66796875
2637;140260.484375
2646;77888.3984375
2649;79984.1015625
2650;75231.3828125
2651;93628.4375
2652;129917.5625
2655;80428.1640625
2665;53554.48046875
2667;105923.40625
2673;206105.0625
2688;223092.984375
2689;143838.765625
2700;124565.5234375
2702;78206.4609375
2704;101520.3984375
2705;68366.3359375
2708;106811.2265625
2724;111768.5625
2730;66184.09375
2733;126005.0
2741;72102.0
2745;71910.6796875
2746;67718.0078125
2748;62328.171875
2752;57248.4375
2755;125293.75
2757;111070.4140625
2761;121686.6484375
2763;92700.75
2774;75674.65625
2779;199289.625
2792;75592.0859375
2801;280227.28125
2815;84749.5078125
2822;129019.8984375
2828;109554.5625
2840;150038.421875
2847;62609.4375
2855;111435.3515625
2860;101776.3515625
2867;153699.578125
2877;94403.7109375
2889;85729.8671875
2894;90027.5
2910;105736.8671875
2929;63802.53515625
2932;104000.2890625
2934;119354.4375
2945;118915.0703125
2950;81018.9140625
2954;72609.4296875
2958;64705.19921875
2966;194079.75
2976;166555.359375
2984;244206.796875
2992;64560.00390625
3004;295430.3125
3008;170250.703125
3033;259989.75
3054;54689.203125
3057;98251.7890625
3069;133713.890625
3082;267629.21875
3086;70724.1484375
3096;125507.6875
3098;107951.8046875
3103;75319.03125
3109;61173.58203125
3114;121484.625
3115;98035.4140625
3121;138174.96875
3138;64157.07421875
3156;131021.4375
3164;121511.71875
3168;63194.01171875
3169;140429.796875
3182;65350.5
3186;206966.75
3197;69246.9921875
3199;58262.07421875
3200;60412.6875
3206;73171.1796875
3208;168939.421875
3213;117188.4140625
3236;94426.0625
3243;111917.1171875
3251;66180.25
3252;111691.5859375
3261;179486.875
3263;154462.421875
3274;109300.0703125
3284;113268.5703125
3285;89576.375
3287;105979.7890625
3294;73542.9375
3301;103520.09375
3307;124216.375
3310;55630.37109375
3316;158332.234375
3323;63556.78125
3326;60734.140625
3340;135097.140625
3344;70129.8359375
3353;140110.765625
3359;71156.0390625
3367;81580.4609375
3368;60340.90234375
3371;69607.484375
3383;100608.3046875
3389;97433.625
3394;101453.96875
3396;256742.078125
3406;64406.48046875
3415;97966.6640625
3416;182065.265625
3426;122661.8046875
3432;86240.3515625
3433;94773.6953125
3436;91133.9140625
3450;234082.453125
3457;75123.2734375
3464;118366.9296875
3472;112178.4296875
3475;175149.703125
3478;86034.9609375
3480;146911.609375
3484;73044.359375
3493;82915.9609375
3512;155770.015625
