cod_loja,cod_ap,cod_municipio,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,0
10,2933307005008,2933307,FEATURE_01_VALUE_08,FEATURE_02_VALUE_02,False,50.0,FEATURE_05_VALUE_03,6,0.134654243381425,0.131481348728959,116.19405798,2.9134982373335694,FEATURE_11_VALUE_01,FEATURE_12_VALUE_01,100.0,93.4,100.0,100.0,71.7,88.8,10
13,2916401003002,2916401,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,41.0,FEATURE_05_VALUE_03,4,0.116662025874871,0.114995115362857,26.34574205,1.31261157198362,,,84.3,77.5,100.0,100.0,63.5,78.8,10
16,2928703003003,2928703,,FEATURE_02_VALUE_04,False,42.12,FEATURE_05_VALUE_05,2,0.104162103532515,0.0878070999373564,35.36278817,1.9695119549375701,,,,,,,,,10
21,2906006003001,2906006,,FEATURE_02_VALUE_04,False,30.0,FEATURE_05_VALUE_03,6,0.13295400951460198,0.131329876138437,9.86275707,1.38368086784464,,,85.0,76.9,100.0,100.0,100.0,92.9,10
28,3550308005058,3550308,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,True,44.31,FEATURE_05_VALUE_03,8,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,,,,,,,6
41,3523404003004,3523404,,FEATURE_02_VALUE_06,False,52.14,FEATURE_05_VALUE_03,10,0.17845901846104,0.174987368965328,47.7509339,2.6482115744500496,,,88.0,94.2,100.0,100.0,91.4,93.0,19
55,3537305003002,3537305,,FEATURE_02_VALUE_02,False,40.16,FEATURE_05_VALUE_03,4,0.14512823140949402,0.136117377522185,28.249595000000003,3.22211660840006,,,,,,,,,19
64,3516200005020,3516200,FEATURE_01_VALUE_08,FEATURE_02_VALUE_03,False,41.32,FEATURE_05_VALUE_03,6,0.16976826935373998,0.17519799119341198,160.16670326,1.7538116172481497,,,96.9,79.4,0.0,100.0,59.7,77.7,27
73,2101202003001,2101202,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,45.0,FEATURE_05_VALUE_03,11,0.149531145868204,0.159541372004647,29.7345821,0.974127182044888,FEATURE_11_VALUE_02,FEATURE_12_VALUE_02,96.0,67.7,66.7,100.0,100.0,92.9,17
75,2306900003002,2306900,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,False,48.4,FEATURE_05_VALUE_03,14,0.28782577335366805,0.27570407531875896,9.48319877,2.8934347964468596,,,,,,,,,21
