cod_loja,cod_ap,cod_municipio,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,0
1,4125506005002,4125506,,FEATURE_02_VALUE_04,True,21.76,FEATURE_05_VALUE_04,31,0.168921519796663,0.16765931392066,115.95884837,2.34982124574095,,,,,,,,,1
2,5300108005004,5300108,,FEATURE_02_VALUE_03,True,22.0,FEATURE_05_VALUE_03,27,0.215966958345941,0.19728680271075,1562.67481722,3.67088303606042,,,,,,,,,25
3,3550308005052,3550308,,FEATURE_02_VALUE_03,True,45.66,FEATURE_05_VALUE_03,6,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,,,,,,,,,6
4,3145604003002,3145604,,FEATURE_02_VALUE_04,False,30.0,FEATURE_05_VALUE_03,3,0.14198829695754503,0.14367699931977,12.82402161,7.218131947452,,,,,,,,,16
5,1600303005010,1600303,FEATURE_01_VALUE_10,FEATURE_02_VALUE_02,False,62.49,FEATURE_05_VALUE_03,30,0.10761919863155,0.10308254735258698,325.53112019,1.97294435639267,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,88.1,100.0,100.0,88.5,93.8,28
6,1100304003003,1100304,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,48.96,FEATURE_05_VALUE_03,5,0.226958245458038,0.229355030992275,46.8979348,2.1786255051687897,,,96.9,56.6,0.0,100.0,73.2,79.0,11
7,1100106003001,1100106,,FEATURE_02_VALUE_04,False,39.54,FEATURE_05_VALUE_03,3,0.226480453072209,0.234005576957112,13.92264414,2.14445016297821,,,100.0,87.8,100.0,100.0,69.2,86.7,11
8,2706703003002,2706703,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,51.15,FEATURE_05_VALUE_03,9,0.243642559245008,0.23924942732137502,18.36114691,1.56069544589069,,,83.7,94.4,100.0,100.0,94.3,92.9,22
9,2704302004017,2704302,,FEATURE_02_VALUE_03,False,61.0,FEATURE_05_VALUE_06,9,0.18825544276392497,0.19117935727112195,461.35374554,3.45244941421798,,,100.0,89.9,100.0,100.0,86.6,93.7,22
11,2933307005002,2933307,,FEATURE_02_VALUE_02,False,26.43,FEATURE_05_VALUE_03,2,0.134654243381425,0.131481348728959,116.19405798,2.9134982373335694,,,,,,,,,10
12,2928109003001,2928109,FEATURE_01_VALUE_08,FEATURE_02_VALUE_06,False,34.1,FEATURE_05_VALUE_03,6,0.17897016216997103,0.17111978185249302,9.46890176,2.39263069745185,,,,,,,,,10
14,2606002003002,2606002,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,26.85,FEATURE_05_VALUE_03,14,0.111534127087854,0.123611767484929,54.13831965,2.1905964994267904,,,,,,,,,2
15,2601201003003,2601201,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,36.65,FEATURE_05_VALUE_03,6,0.11320465855609299,0.13116639622362,30.2052081,2.75387263339071,,,96.9,78.1,100.0,100.0,93.8,93.3,2
17,2907509003001,2907509,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,29.4,FEATURE_05_VALUE_03,4,0.163328238612576,0.151976709736958,18.18524169,1.79471993395431,FEATURE_11_VALUE_02,FEATURE_12_VALUE_02,100.0,89.2,66.7,100.0,100.0,97.1,10
18,2922508001001,2922508,FEATURE_01_VALUE_08,FEATURE_02_VALUE_04,False,39.0,FEATURE_05_VALUE_03,4,0.104162103532515,0.0878070999373564,9.45164596,3.4006665306400095,,,100.0,82.9,100.0,100.0,88.5,93.5,10
19,2909802003003,2909802,,FEATURE_02_VALUE_04,False,29.0,FEATURE_05_VALUE_03,5,0.104162103532515,0.0878070999373564,21.61351082,1.55770518871598,FEATURE_11_VALUE_06,FEATURE_12_VALUE_02,100.0,84.1,100.0,100.0,71.8,87.1,10
20,2903201003003,2903201,FEATURE_01_VALUE_10,FEATURE_02_VALUE_06,False,49.65,FEATURE_05_VALUE_03,6,0.217500440586027,0.20470361254021202,51.87107068,3.2484829584584,,,96.9,88.4,0.0,100.0,86.6,89.2,10
22,2904605003002,2904605,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,False,35.35,FEATURE_05_VALUE_03,5,0.16781647680351097,0.15684944979229298,19.10111099,1.44393906577142,,,,,,,,,10
23,2910800004014,2910800,FEATURE_01_VALUE_08,FEATURE_02_VALUE_02,False,48.5,FEATURE_05_VALUE_03,7,0.14705985653789902,0.13863677873888097,222.33668762,1.61935976992136,,,,,,,,,10
24,2503704003003,2503704,,FEATURE_02_VALUE_06,False,47.0,FEATURE_05_VALUE_03,9,0.16879933575036202,0.180555502115072,23.48771633,1.6278426201754799,,,,,,,,,23
25,2510808003005,2510808,,FEATURE_02_VALUE_04,False,41.0,FEATURE_05_VALUE_03,4,0.196939586945641,0.25912977693074496,48.00713988,1.8812197829072401,,,100.0,88.8,100.0,100.0,75.0,89.0,23
26,3518800005022,3518800,FEATURE_01_VALUE_08,FEATURE_02_VALUE_03,False,58.34,FEATURE_05_VALUE_07,11,0.208766597327068,0.20454290622445698,551.93508231,1.1322626154813502,,,99.4,87.9,100.0,100.0,96.8,96.1,27
27,3550308005023,3550308,,FEATURE_02_VALUE_06,True,35.98,FEATURE_05_VALUE_02,3,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,,,,,,,,,6
29,3510500003002,3510500,,FEATURE_02_VALUE_06,False,44.5,FEATURE_05_VALUE_03,15,0.18830545180480604,0.18658544601520002,51.49758783,3.529920488541,,,88.0,48.9,0.0,100.0,52.5,60.4,27
30,3518701005001,3518701,,FEATURE_02_VALUE_06,False,30.15,FEATURE_05_VALUE_05,5,0.16728186212309398,0.16072041411994198,134.8093818,1.9278347203033102,,,,,,,,,27
31,3537800003002,3537800,,FEATURE_02_VALUE_04,False,23.9,FEATURE_05_VALUE_03,6,0.272224777717028,0.25780153386925303,12.32323444,3.6551711533892597,,,,,,,,,19
