iter	Passed	Remaining
0	8	4374
1	13	3443
2	18	3090
3	23	2943
4	28	2845
5	33	2763
6	38	2707
7	43	2674
8	48	2652
9	53	2640
10	58	2618
11	64	2603
12	68	2581
13	73	2559
14	78	2543
15	83	2526
16	88	2508
17	93	2491
18	98	2484
19	103	2476
20	107	2462
21	112	2449
22	117	2439
23	122	2431
24	127	2419
25	132	2411
26	136	2397
27	141	2389
28	146	2382
29	151	2376
30	156	2367
31	161	2359
32	166	2352
33	173	2376
34	180	2403
35	188	2428
36	196	2454
37	204	2486
38	212	2507
39	219	2526
40	227	2542
41	234	2556
42	242	2578
43	250	2591
44	258	2612
45	265	2624
46	273	2637
47	281	2649
48	289	2660
49	296	2672
50	304	2682
51	312	2690
52	319	2697
53	327	2705
54	334	2706
55	341	2710
56	349	2718
57	357	2723
58	365	2729
59	372	2732
60	380	2736
61	387	2738
62	395	2742
63	402	2742
64	409	2742
65	417	2742
66	425	2748
67	432	2746
68	437	2733
69	442	2719
70	447	2705
71	452	2689
72	457	2676
73	462	2662
74	467	2648
75	471	2633
76	476	2619
77	481	2606
78	487	2595
79	491	2581
80	496	2568
81	501	2555
82	505	2541
83	511	2531
84	515	2519
85	520	2507
86	525	2495
87	530	2483
88	535	2472
89	540	2461
90	545	2449
91	550	2439
92	554	2428
93	559	2418
94	564	2406
95	569	2396
96	574	2385
97	578	2373
98	583	2362
99	588	2352
100	592	2342
101	597	2332
102	602	2322
103	607	2312
104	612	2303
105	617	2295
106	622	2285
107	626	2275
108	631	2264
109	635	2254
110	640	2245
111	645	2235
112	650	2226
113	654	2216
114	659	2207
115	664	2200
116	669	2192
117	674	2183
118	679	2175
119	683	2165
120	688	2157
121	693	2150
122	698	2141
123	703	2133
124	708	2124
125	713	2116
126	717	2108
127	722	2100
128	727	2092
129	732	2084
130	737	2076
131	742	2069
132	747	2061
133	752	2054
134	757	2046
135	762	2040
136	767	2032
137	772	2025
138	776	2016
139	781	2009
140	786	2002
141	791	1994
142	796	1987
143	801	1980
144	806	1973
145	811	1966
146	815	1958
147	820	1951
148	825	1944
149	830	1936
150	834	1929
151	839	1922
152	844	1914
153	849	1907
154	854	1901
155	859	1894
156	864	1888
157	869	1882
158	874	1875
159	879	1868
160	884	1862
161	889	1855
162	894	1848
163	898	1841
164	903	1834
165	908	1828
166	913	1822
167	918	1815
168	923	1808
169	928	1802
170	933	1795
171	938	1789
172	943	1783
173	948	1777
174	953	1770
175	958	1764
176	963	1757
177	968	1752
178	973	1745
179	978	1739
180	983	1733
181	988	1727
182	994	1722
183	999	1715
184	1003	1709
185	1011	1707
186	1016	1700
187	1020	1693
188	1025	1687
189	1031	1682
190	1035	1675
191	1040	1668
192	1045	1663
193	1050	1656
194	1054	1650
195	1059	1643
196	1064	1636
197	1068	1630
198	1073	1623
199	1078	1617
200	1083	1611
201	1088	1605
202	1093	1599
203	1097	1592
204	1102	1586
205	1107	1580
206	1112	1574
207	1117	1568
208	1121	1561
209	1127	1556
210	1132	1550
211	1136	1544
212	1142	1538
213	1147	1533
214	1152	1527
215	1157	1521
216	1161	1515
217	1166	1509
218	1171	1502
219	1176	1497
220	1180	1490
221	1186	1485
222	1190	1479
223	1195	1473
224	1200	1467
225	1205	1461
226	1210	1455
227	1215	1449
228	1219	1443
229	1224	1437
230	1229	1431
231	1234	1425
232	1238	1419
233	1243	1414
234	1249	1408
235	1253	1402
236	1258	1396
237	1263	1390
238	1268	1385
239	1273	1379
240	1278	1374
241	1283	1368
242	1288	1362
243	1293	1357
244	1298	1351
245	1304	1346
246	1309	1341
247	1314	1335
248	1318	1329
249	1323	1323
250	1328	1317
251	1333	1311
252	1337	1306
253	1342	1300
254	1347	1294
255	1352	1289
256	1357	1283
257	1362	1278
258	1367	1272
259	1371	1266
260	1376	1260
261	1381	1255
262	1386	1249
263	1390	1243
264	1395	1237
265	1400	1231
266	1405	1226
267	1409	1220
268	1414	1214
269	1419	1209
270	1424	1203
271	1428	1197
272	1433	1191
273	1438	1186
274	1443	1180
275	1447	1175
276	1452	1169
277	1457	1163
278	1461	1157
279	1466	1152
280	1471	1146
281	1476	1141
282	1480	1135
283	1485	1129
284	1490	1124
285	1495	1118
286	1499	1113
287	1504	1107
288	1509	1102
289	1513	1096
290	1519	1091
291	1524	1085
292	1528	1079
293	1533	1074
294	1537	1068
295	1542	1063
296	1547	1057
297	1552	1052
298	1556	1046
299	1561	1041
300	1566	1035
301	1571	1030
302	1575	1024
303	1580	1019
304	1585	1013
305	1590	1008
306	1595	1003
307	1599	997
308	1604	991
309	1609	986
310	1613	980
311	1618	975
312	1623	969
313	1628	964
314	1633	959
315	1638	953
316	1642	948
317	1647	942
318	1652	937
319	1656	932
320	1661	926
321	1666	921
322	1671	915
323	1675	910
324	1680	905
325	1685	899
326	1689	894
327	1695	888
328	1700	883
329	1704	878
330	1709	872
331	1714	867
332	1718	861
333	1724	856
334	1728	851
335	1733	846
336	1738	840
337	1743	835
338	1747	830
339	1752	824
340	1757	819
341	1762	814
342	1767	808
343	1771	803
344	1776	798
345	1781	793
346	1786	787
347	1791	782
348	1795	777
349	1800	771
350	1805	766
351	1810	761
352	1815	755
353	1820	750
354	1824	745
355	1829	740
356	1834	734
357	1839	729
358	1844	724
359	1848	719
360	1853	713
361	1858	708
362	1863	703
363	1868	697
364	1872	692
365	1877	687
366	1882	682
367	1887	676
368	1892	671
369	1896	666
370	1901	661
371	1906	656
372	1911	650
373	1916	645
374	1921	640
375	1926	635
376	1930	629
377	1935	624
378	1940	619
379	1945	614
380	1950	609
381	1955	604
382	1960	598
383	1964	593
384	1969	588
385	1973	582
386	1978	577
387	1983	572
388	1987	567
389	1992	562
390	1997	556
391	2002	551
392	2006	546
393	2011	541
394	2015	535
395	2020	530
396	2025	525
397	2030	520
398	2035	515
399	2040	510
400	2045	505
401	2050	499
402	2055	494
403	2059	489
404	2065	484
405	2069	479
406	2074	473
407	2078	468
408	2083	463
409	2088	458
410	2092	453
411	2097	447
412	2102	442
413	2107	437
414	2112	432
415	2117	427
416	2122	422
417	2127	417
418	2132	412
419	2136	407
420	2141	401
421	2146	396
422	2150	391
423	2155	386
424	2160	381
425	2164	376
426	2169	370
427	2174	365
428	2179	360
429	2184	355
430	2189	350
431	2194	345
432	2199	340
433	2203	335
434	2208	329
435	2212	324
436	2217	319
