,index,cod_loja,datetime,cod_ap,cod_municipio,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,quarter,ano,mes,categoria_loja,receita_trim1,receita_trim2,receita_trim3,receita_media,receita_ano_passado,cnt_feriados,receita_minha_categoria
0,19.0,1,2018-01-01,4125506005002,4125506,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,1,21.76,FEATURE_05_VALUE_04,31,0.168921519796663,0.16765931392066,115.95884837,2.34982124574095,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,1,40,637339.7599999995,891173.2199999997,1216996.8399999996,915169.9399999996,611797.2999999998,1.0,552910.4643333333
1,21.0,1,2018-02-01,4125506005002,4125506,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,1,21.76,FEATURE_05_VALUE_04,31,0.168921519796663,0.16765931392066,115.95884837,2.34982124574095,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,2,40,637339.7599999995,891173.2199999997,1216996.8399999996,915169.9399999996,876921.6300000001,0.0,435209.4936666666
2,23.0,1,2018-03-01,4125506005002,4125506,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,1,21.76,FEATURE_05_VALUE_04,31,0.168921519796663,0.16765931392066,115.95884837,2.34982124574095,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,3,40,637339.7599999995,891173.2199999997,1216996.8399999996,915169.9399999996,1257613.0,0.0,520654.6213333333
0,43.0,2,2018-01-01,5300108005004,5300108,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,1,22.0,FEATURE_05_VALUE_03,27,0.215966958345941,0.19728680271075,1562.67481722,3.67088303606042,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,1,0,59996.08000000001,76670.53,92232.32,76299.64333333334,53209.15000000001,1.0,45986.62604746691
1,45.0,2,2018-02-01,5300108005004,5300108,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,1,22.0,FEATURE_05_VALUE_03,27,0.215966958345941,0.19728680271075,1562.67481722,3.67088303606042,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,2,0,59996.08000000001,76670.53,92232.32,76299.64333333334,53830.14,0.0,34970.68196257417
2,47.0,2,2018-03-01,5300108005004,5300108,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,1,22.0,FEATURE_05_VALUE_03,27,0.215966958345941,0.19728680271075,1562.67481722,3.67088303606042,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,3,0,59996.08000000001,76670.53,92232.32,76299.64333333334,108589.20999999998,0.0,41821.36338658147
0,67.0,3,2018-01-01,3550308005052,3550308,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,1,45.66,FEATURE_05_VALUE_03,6,0.190102227825834,0.179139940969186,5593.905463,2.81588342075523,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,1,10,143691.35,204050.94,420197.8999999999,255980.06333333332,198425.46999999988,1.0,107494.8804223901
1,69.0,3,2018-02-01,3550308005052,3550308,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,1,45.66,FEATURE_05_VALUE_03,6,0.190102227825834,0.179139940969186,5593.905463,2.81588342075523,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,2,10,143691.35,204050.94,420197.8999999999,255980.06333333332,199192.78,0.0,84367.13394908841
2,71.0,3,2018-03-01,3550308005052,3550308,FEATURE_01_VALUE_10,FEATURE_02_VALUE_03,1,45.66,FEATURE_05_VALUE_03,6,0.190102227825834,0.179139940969186,5593.905463,2.81588342075523,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,3,10,143691.35,204050.94,420197.8999999999,255980.06333333332,422565.36999999976,0.0,101601.59410732712
0,91.0,4,2018-01-01,3145604003002,3145604,FEATURE_01_VALUE_10,FEATURE_02_VALUE_04,0,30.0,FEATURE_05_VALUE_03,3,0.14198829695754506,0.14367699931977,12.82402161,7.218131947452,FEATURE_11_VALUE_02,FEATURE_12_VALUE_01,100.0,86.9,100.0,100.0,91.1,90.5,1,2018,1,0,46064.16000000001,64706.32000000001,173683.69999999975,94818.05999999992,41540.570000000014,1.0,45986.62604746691
